TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU
TID_FAQ_TEXT_UPGRADES,You can upgrade your buildings by tapping on them and choosing the \qUpgrade\q option. Upgrading your Town Hall unlocks new buildings and allows you to upgrade your existing buildings even further!\n\nBuildings will not work while they are being upgraded. This means that Mines and Elixir Pumps won't generate resources and Cannons and Towers won't shoot enemies while being upgraded.,"Vous pouvez améliorer vos bâtiments en les touchant et en sélectionnant l´option \qAméliorer\q. Améliorer votre hôtel de ville débloque de nouveaux bâtiments et vous permet d'améliorer davantage vos bâtiments existants !\n\nLes bâtiments ne seront pas opérationnels pendant leur amélioration. Cela signifie que les mines et les pompes à élixir ne généreront pas de ressources, et que les canons et les tours ne pourront pas tirer pendant leur amélioration.","Du kannst deine Gebäude verbessern, indem du auf sie tippst und die \qUpgrade\q-Option wählst. Die Verbesserung deines Rathauses schaltet neue Gebäude frei und du kannst deine bestehenden Gebäude noch weiter verbessern!\n\nGebäude funktionieren nicht, wenn sie verbessert werden. Das bedeutet, dass Minen und Elixierpumpen keine Ressourcen erzeugen und Kanonen und Türme keine Feinde abschießen, während sie verbessert werden.","Puedes mejorar tus edificios tocándolos y seleccionando la opción \qMejorar\q. Si mejoras tu ayuntamiento desbloquearás nuevos edificios, ¡lo que te permitirá mejorar aún más los edificios que ya tienes!\n\nLos edificios no estarán operativos mientras se estén mejorando. Esto significa que las minas y las bombas de elixires no generarán recursos, mientras que los cañones y las torres no dispararán a los enemigos mientras se están mejorando.","Puoi migliorare gli edifici toccandoli e scegliendo l'opzione \qMigliora\d. Migliorando il Municipio, sbloccherai nuovi edifici e potrai migliorare ancora di più quelli già esistenti!\n\nGli edifici saranno fuori servizio mentre vengono migliorati. Ciò significa che le Miniere e le Pompe elisir non generano risorse e i Cannoni e le Torri non sparano ai nemici mentre vengono migliorate.",Je kunt je gebouwen upgraden door erop te tikken en de optie \qUpgrade\q te kiezen. Door je gemeentehuis uit te breiden kan je nieuwe gebouwen ontgrendelen en je bestaande gebouwen nog verder uitbouwen!\n\nGebouwen zullen niet functioneren terwijl er een upgrade wordt uitgevoerd. Dat betekent dat Mijnen en Elixerpompen geen grondstoffen zullen genereren en dat Kanonnen en Torens niet op vijanden kunnen schieten terwijl de upgrade wordt uitgevoerd.,"Du kan oppgradere dine bygninger ved å trykke på dem og velge muligheten for \qOppgradering\q. Oppgradering av rådhuset ditt låser opp nye bygninger og tillater deg å oppgradere dine eksisterende bygninger ytterligere!\n\nBygninger fungerer ikke under oppgradering. Dette betyr at miner og eliksirpumper vil ikke generere ressurser, samt kanoner og tårn vil ikke skyte fiender under oppgradering.",Você pode atualizar as suas construções tocando nelas e selecionando a opção \qAtualizar\q. Atualizar o seu Centro da Vila desbloqueia novas construções e oferece novas atualizações para as suas construções existentes!\n\nAs construções ficarão indisponíveis enquanto estiverem sendo atualizadas. Isto significa que as Minas e Bombas de Elixir não irão gerar recursos e Canhões e Torres não irão atirar nos inimigos durante a atualização.,"Üzerlerine dokunarak ve \qYükselt\q seçeneğini seçerek binalarınızı yükseltebilirsiniz. Köy Binanızı yükseltmek, yeni binaların kilidini açar ve mevcut binalarınızı daha fazla yükseltmenize izin verir!\n\nYükseltilirlerken binalar çalışmayacaktır. Bunun anlamı, yükseltilirlerken Madenler'in ve İksir Pompaları'nın kaynak üretmeyeceği ve Toplarınız ile Kulelerinizin düşmana ateş etmeyeceğidir.",建物をアップグレードするには、その建物をタップして 「アップグレード」 を選択してください。タウンホールをアップグレードすれば新しい建物が建設できるようになったり、今ある建物をさらにアップグレードできるようになります。\n\n建物のほとんどは、アップグレード中は効果がなくなってしまいますのでご注意ください。金山やエリクサーポンプは生産が一時的に止まり、大砲や塔などの防衛設備は敵を攻撃できなくなります。,点击要升级的建筑并选择\q升级\q选项。升级大本营可解锁新的建筑！\n\n建筑在升级时没有效用。也就是说在升级时，金矿和圣水收集器将不再产出相应资源；火炮和箭塔将不再射击敌人。,건물은 탭한 후 \q업그레이드\q 옵션을 선택하여 업그레이드할 수 있습니다. 마을 회관을 업그레이드하면 새로운 건물을 지을 수 있고 현존 건물을 더 업그레이드할 수 있습니다!\n\n업그레이드 중인 건물들은 제 기능을 발휘하지 못합니다. 이 말은 즉 업그레이드 중인 금광과 엘릭서 정제소는 자원을 생성하지 못하고 대포와 포탑은 적을 공격할 수 없습니다,"Вы можете улучшить строения, коснувшись их и выбрав кнопку \qУлучшить\q. Улучшение Ратуши открывает улучшения для прочих зданий и другие возможности!\n\nВо время улучшения здания не будут работать. Это значит, что Шахты и Сборщики Эликсира перестанут добывать ресурсы, а Пушки и Башни не будут стрелять по врагам."
TID_FAQ_TITLE_BUYING,"I am unable to buy gems, there is no option in the game?",Je n'arrive pas à acheter de gemmes. Cette option n'est pas présente dans le jeu ?,"Ich kann keine Juwelen kaufen, es gibt keine Option im Spiel?",No puedo comprar gemas: ¿no existe esta opción en la partida?,"Non riesco a comprare gemme, dov'è l'opzione nel gioco?","Ik kan geen edelstenen kopen, er is geen optie in het spel om dat te doen?",Jeg klarer ikke å kjøpe juveler; er ikke dette mulig i spillet?,"Não consigo comprar gemas, não há nenhuma opção no jogo?","Taş alamıyorum, oyun da böyle bir seçenek yok mu?",エメラルドを買えないのだけれども、ゲーム内から買う方法はあるのでしょうか？,游戏中购买宝石的选项不存在或者为灰色，怎么购买宝石呢？,보석을 구매할 수 없습니다. 게임에서 구매할 수 없나요?,"Я не могу купить кристаллы, это невозможно в игре?"
TID_FAQ_TITLE_BUYING_ANDROID,I can´t buy gems. Help!,Je ne peux pas acheter de gemmes. Aidez-moi !,Hilfe! Ich kann keine Juwelen kaufen!,¡Ayuda! No consigo comprar gemas.,Non riesco ad acquistare gemme. Aiutatemi!,Ik kan geen edelstenen kopen. Help!,Jeg kan ikke kjøpe juveler. Hjelp!,Não posso comprar gemas. Socorro!,Değerli taş satın alamıyorum. Yardım!,エメラルドを購入できません。助けて！,我无法购买宝石。帮帮我！,보석을 구매할 수 없습니다. 도와주세요!,Не могу купить кристаллы. Помогите!
TID_FAQ_TITLE_CHANGENAME,Can I change my village's name?,Est-il possible de changer le nom de mon village ?,Kann ich den Namen meines Dorfes ändern?,¿Puedo cambiar el nombre de mi aldea?,Posso cambiare il nome del mio villaggio?,Kan ik de naam van mijn dorp veranderen?,Kan jeg gi landsbyen min nytt navn?,Posso mudar o nome da minha vila?,Köyümün adını değiştirebilir miyim?,村の名前を変える方法はありますか？,我能否更改村庄名称？,마을 이름을 변경할 수 있나요?,Я могу поменять название своей деревни?
TID_FAQ_TITLE_CHATBAN,I was banned from the global chat. What can I do?,Je n'ai plus accès au chat global. Que puis-je faire ?,Ich habe keinen Zugriff mehr auf den globalen Chat. Was kann ich tun?,Me han expulsado del chat global. ¿Qué puedo hacer?,Sono stato bandito dalla chat globale. Che cosa posso fare?,Ik ben uit de wereldwijde chat verbannen. Wat kan ik daar aan doen?,Jeg ble utestengt fra den den globale chatten. Hva kan jeg gjøre?,Eu fui banido do chat global. O que posso fazer?,Küresel sohbette engellendim. Ne yapabilirim?,グローバルチャットの使用を禁止されました。解除するにはどうすればよいですか？,我被禁止进入公众聊天室了。怎么办？,전체 채팅에서 채팅이 금지되었습니다. 어떻게 해야 하나요?,Меня забанили в глобальном чате. Что делать?
TID_FAQ_TITLE_CLAN,How do I join or create a clan?,Comment créer ou rejoindre un clan ?,Wie trete ich einem Clan bei oder gründe einen?,¿Cómo me uno a un clan o lo creo?,Come faccio a unirmi a un clan o a formarne uno?,"Hoe zet ik een clan op, of word ik lid?",Hvordan blir jeg med i eller oppretter jeg en klan?,Como faço para entrar ou criar um clã?,Bir klana nasıl üye olabilirim veya nasıl bir klan oluşturabilirim?,クランに参加したり、新しく結成するにはどうすればよいのでしょうか？,如何加入或创建部落？,클랜에 가입하거나 새 클랜을 생성하려면 어떻게 해야 하나요?,Как создать или вступить в клан?
TID_FAQ_TITLE_CLANSCORE,Why is my clan's score smaller than all members' combined scores?,Pourquoi le score de mon clan est-il inférieur à la somme des scores des membres ?,Wieso ist die Punktzahl meines Clans kleiner als die Punktzahl aller Mitglieder zusammen?,¿Por qué la puntuación de mi clan es menor que las puntuaciones combinadas de todos los miembros?,Perché il punteggio del mio clan è inferiore alla combinazione dei punteggi di tutti i membri?,Waarom is de score van mijn clan lager dan de gecombineerde score van alle leden?,Hvorfor er klanens poengsum lavere enn alle medlemmenes poengsummer sammenlagt?,Por que a pontuação do meu clã é menor que a soma dos troféus de todos os membros?,Klan puanım neden tüm üyelerin puanının toplamından daha düşük?,クランのスコアが全メンバーの合計スコアより低いのは何故ですか？,为什么我的部落总分比所有部落成员的奖杯数之和少呢？,왜 클랜 점수가 모든 클랜 동료의 점수를 더한 것보다 낮을까요?,"Почему результат моего клана ниже, чем сумма результатов участников?"
TID_FAQ_TITLE_CLAN_WARS,How do I join a Clan War?,Comment participer à une guerre de clans ?,Wie nehme ich an einem Clankrieg teil?,¿Cómo puedo unirme a una guerra de clanes?,Come faccio a partecipare a una Guerra tra clan?,Hoe neem ik deel aan een clanoorlog?,Hvordan kan jeg bli med i en klankrig?,Como faço para participar de uma guerra de clãs?,Bir Klan Savaşı'na nasıl katılabilirim?,クラン対戦への参加方法を教えてください。,我怎样才能加入部落对战？,클랜 전쟁에 참가하려면 어떻게 해야 하나요?,Как вступить в Войну Кланов?
TID_FAQ_TITLE_CONTROL,How can I control my units in battle?,Comment contrôler mes unités au combat ?,Wie kann ich meine Einheiten im Kampf steuern?,¿Cómo puedo controlar a mis unidades en combate?,Come posso controllare le mie unità in battaglia?,Hoe bestuur ik mijn troepen tijdens de strijd?,Hvordan kontrollerer jeg enhetene mine i kamp?,Como posso controlar minhas unidades na batalha?,Savaşta birimlerimi nasıl kontrol ederim?,戦闘中にユニットを操作する方法はありますか？,在战斗中我能控制我的部队吗？,전투 중에 유닛을 조정할 수 있나요?,Как контролировать воинов в бою?
TID_FAQ_TITLE_DESTROYED,What happens when the shield runs out?,Que se passe-t-il lorsque le bouclier s'estompe ?,"Was passiert, wenn der Schild abläuft?",¿Qué ocurre cuando el escudo se agota?,Cosa succede se lo scudo si esaurisce?,Wat gebeurt er als het schild eindigt?,Hva skjer når skjoldet utløper?,O que acontece quando o escudo se esgota?,Kalkan bittiğinde ne olacak?,シールドが切れるとどうなるのでしょうか？,当护盾失效之后会怎样？,보호막이 만료되면 어떻게 되나요?,"Что будет, когда кончится действие щита?"
TID_FAQ_TITLE_DISCONNECTED,I was disconnected and lost trophies. Can you return them to me?,J'ai subi une déconnexion et perdu des trophées. Pouvez-vous me les rendre ?,Ich habe die Verbindung verloren und dabei sind Trophäen verschwunden. Könnt ihr sie mir zurückgeben?,Me he desconectado y he perdido trofeos. ¿Me los podéis devolver?,Sono stato disconnesso e ho perso dei trofei. Potete restituirmeli?,Mijn verbinding werd verbroken en ik ben alle trofeeën kwijt. Kan ik ze terug krijgen?,Jeg ble frakoblet og mistet troféer. Kan dere finne dem igjen for meg?,Eu estava desconectado e perdi troféus. Vocês podem devolvê-los para mim?,Bağlantım kesildi ve ödüllerimi kaybettim. Ödüllerimi bana geri verebilir misiniz?,接続が切断されて、とったはずのトロフィーが消えてしまったのですが、元に戻す方法はありますか？,游戏中我的网络连接中断了，因此丢失了奖杯。你们能否返还给我呢？,연결이 끊겨 획득한 트로피가 사라졌습니다. 돌려주실 수 있나요?,Пропало подключение и я потерял трофеи. Можете их вернуть?
TID_FAQ_TITLE_GEM_BOX,How do I get a Gem Box?,Comment obtenir un caisson de gemmes ?,Wie bekomme ich eine Juwelenkiste?,¿Cómo consigo una caja de gemas?,Come posso ottenere una cassa di gemme?,Hoe kom ik aan een juwelenkist?,Hvordan får jeg tak i juvelkasser?,Como consigo uma caixa de gemas?,Nasıl bir Değerli Taş Kutusu alabilirim?,埋蔵エメラルドを手に入れるにはどうしたらいいですか？,如何才能获得宝箱？,보석 상자를 얻으려면 어떻게 하나요?,Как получить Ящик с Кристаллами?
TID_FAQ_TITLE_HEROES,What are the Hero units and how do I use them?,Que sont les unités Héros et comment les utiliser ?,Was sind Heldeneinheiten und wie benutze ich sie?,¿Qué son las unidades de héroe y cómo se usan?,Cosa sono le unità eroe e come si usano?,Wat zijn heldeneenheden en hoe gebruik ik ze?,"Hva er helteenhetene, og hvordan bruker jeg dem?",Quais são as unidades de Herói e como usá-las?,Kahraman birimleri nedir ve onları nasıl kullanırım?,ヒーローユニットとは？　どうやれば使えるのでしょうか？,什么是英雄，该如何使用他们？,"영웅 유닛은 무엇이고, 어떻게 사용하나요?",Кто такие Герои и что с ними делать?
TID_FAQ_TITLE_INTERNET,Sometimes I lose connection. How can I avoid this?,Je perds parfois ma connexion. Comment remédier à ce problème ?,Manchmal bricht die Verbindung ab. Wie kann ich das verhindern?,"A veces se pierde la conexión al juego, ¿qué hago para evitarlo?",A volte perdo la connessione. Come posso evitarlo?,Mijn verbinding wordt soms verbroken. Hoe kan ik dit voorkomen?,Noen ganger mister jeg forbindelsen. Hvordan kan jeg unngå dette?,Às vezes perco a conexão. Como posso evitar isso?,Bazen bağlantım kesiliyor. Bunu nasıl önleyebilirim?,時々通信が切断されます。どうしたら防げますか？,有时候我会断线，这要如何避免呢？,가끔 연결이 끊어집니다. 어떻게 해야 끊어짐을 방지할 수 있을까요?,Иногда я теряю соединение. Как мне этого избежать?
TID_FAQ_TITLE_LOSTGEMS,I have just purchased gems but they never came through. What can I do?,"J'ai acheté des gemmes, mais je ne les ai jamais reçues. Que dois-je faire ?","Ich habe gerade Juwelen gekauft, aber sie wurden mir nicht gutgeschrieben. Was kann ich tun?","Acabo de adquirir gemas, pero no me han sido entregadas. ¿Qué puedo hacer?",Ho appena acquistato delle gemme ma non le ho ancora ricevute. Che posso fare?,"Ik heb net edelstenen gekocht, maar ik zie ze niet. Wat moet ik doen?","Jeg har nettopp kjøpt juveler, men de ble ikke levert. Hva gjør jeg?","Eu acabei de comprar gemas, mas elas não apareceram no jogo. O que posso fazer?",Az önce taş satın aldım ama gelmedi. Ne yapmalıyım?,エメラルドを買ったのに、追加されません。どうすればよいのでしょうか？,我刚刚购买了宝石，但是一直没有收到。怎么办？,방금 보석을 구매했는데 추가되지 않았습니다. 어떻게 해야 하나요?,"Я купил кристаллы, но они так и не появились. Что делать?"
TID_FAQ_TITLE_MATCHMAKING,How does ''Find a match'' work?,Comment fonctionne le système \qChercher une partie\q ?,Wie funktioniert \qMitspieler finden\q?,¿Cómo funciona ''Buscar partida''?,Come funziona il sistema \qTrova una partita\q?,Hoe werkt 'Zoek een match'?,Hvordan virker «Finn en match»?,Como funciona o \qProcurar uma Batalha\q?,\qEşleşme bul\q düğmesi nasıl çalışıyor?,「対戦相手を探す」 はどんな仕組みですか？,进攻对象是如何决定的呢？,상대 찾기는 어떻게 운영되나요?,Как работает \qПодбор (Противника)\q?
TID_FAQ_TITLE_MULTIACCOUNT,Can I play multiple accounts on a single device?,Est-il possible de jouer avec différents comptes sur un seul appareil ?,Kann ich auf einem Gerät mit mehreren Clash of Clans Accounts spielen?,¿Puedo jugar con varias cuentas en un mismo dispositivo?,Posso giocare con più account su un unico dispositivo?,Kan ik met meerdere accounts op één apparaat spelen?,Kan jeg spille med flere kontoer på samme enhet?,Posso jogar com várias contas em um único dispositivo?,Tek bir cihazda birden fazla hesapla oynayabilir miyim?,1つのデバイスで複数のセーブデータを使い分けてプレイできますか？,我能在一个苹果设备上保存多个游戏账户吗？,한 개의 기기에서 여러 계정을 사용할 수 있나요?,Я могу играть с несколькими учетными записями на одном устройстве?
TID_FAQ_TITLE_MULTIDEVICE,Can I connect multiple devices to the same account?,Est-il possible de lier différents appareils à un seul et même compte ?,Kann ich mehrere Geräte mit dem gleichen Account verbinden?,¿Puedo vincular varios dispositivos a la misma cuenta?,Posso connettere più dispositivi allo stesso account?,Kan ik meerdere apparaten aan één account koppelen?,Kan jeg koble til flere enheter på samme konto?,Posso conectar vários dispositivos à mesma conta?,Aynı hesaba birden fazla cihazla bağlanabilir miyim?,同一のセーブデータに複数のデバイスを関連づけられますか？,我能用多个苹果设备登录同一个游戏账户吗？,하나의 계정을 여러 기기에서 즐길 수 있나요?,Я могу подключить несколько устройств к одной учетной записи?
TID_FAQ_TITLE_RECRUIT,How do I get more people into my clan?,Comment avoir plus de gens dans mon clan ?,Wie bekomme ich mehr Leute in meinen Clan?,¿Cómo hago que se unan más personas a mi clan?,Come posso aumentare il numero dei membri del mio clan?,Hoe zorg ik dat meer mensen lid worden van mijn clan?,Hvordan får jeg flere folk i klanen min?,Como faço para ter mais pessoas no meu clã?,Klanıma diğer oyuncuları nasıl eklerim?,クランのメンバーを増やすにはどうすればよいのでしょうか？,如何让更多的玩家加入我的部落？,어떻게 하면 제 클랜에 더 많은 사람을 가입시킬 수 있나요?,Как набрать больше людей в свой клан?
TID_FAQ_TITLE_REPLAY,Why aren't battle replays available?,Pourquoi les vidéos de bataille ne sont-elles pas disponibles ?,Warum sind Kampfwiederholungen nicht verfügbar?,¿Por qué no están disponibles las repeticiones de las batallas?,Perché i replay delle battaglie non sono disponibili?,Waarom zijn er geen gevechtsherhalingen beschikbaar?,Hvorfor er ikke repriser av kamper tilgjengelige?,Por que não há replays de batalha disponíveis?,Savaş tekrarları neden yok?,リプレイを見ることができないのは何故ですか？,为什么不能播放战斗回放？,전투 리플레이를 볼 수 없는 이유는 무엇인가요?,Почему повторы недоступны?
TID_FAQ_TITLE_RESET,Can I reset the game and start again from the beginning?,Est-il possible de réinitialiser le jeu et de recommencer depuis le début ?,Kann ich das Spiel zurücksetzen und neu starten?,¿Puedo reiniciar la partida y volver a empezar desde el principio?,Posso resettare il gioco e ricominciare da capo?,Kan ik mijn spel resetten en weer helemaal opnieuw beginnen?,Kan jeg tilbakestille spillet og starte på nytt fra begynnelsen?,Posso reiniciar o jogo e começar de novo do zero?,Oyunu sıfırlayıp en baştan başlayabilir miyim?,ゲームをリセットして最初からプレイできますか？,我能重启游戏从头来过吗？,게임을 처음부터 다시 시작할 수 있나요?,Я могу стереть игру и начать все с начала?
TID_FAQ_TITLE_SHIELD,What is the Shield and how does it work?,Qu'est-ce que le bouclier et comment fonctionne-t-il ?,Was ist der Schild und wie funktioniert er?,¿Qué es el escudo y cómo funciona?,Cos'è e come funziona lo scudo?,Wat is het schild en hoe werkt het?,Hva er skjoldet og hvordan fungerer det?,O que é o escudo e como ele funciona?,Kalkan nedir ve nasıl çalışır?,シールドとは？　どのように使えばよいのでしょうか？,什么是护盾？它的作用是什么？,보호막이란 무엇이고 어떻게 사용하나요?,"Что такое Щит, и как он работает?"
TID_FAQ_TITLE_SPELLS,What are Spells and how can I use them?,Que sont les Sorts et comment les utiliser ?,Was sind Zaubersprüche und wie kann ich sie verwenden?,¿Qué son los hechizos y cómo puedo usarlos?,Che cosa sono gli incantesimi e come posso usarli?,Wat zijn spreuken en hoe kan ik ze gebruiken?,Hva er magi og hvordan kan jeg bruke det?,O que são Feitiços e como posso usá-los?,Büyüler nedir ve nasıl kullanabilirim?,呪文とは？　どうすれば使えるのでしょうか？,什么是法术，该怎样使用法术？,"마법은 무엇이고, 어떻게 사용하나요?","Что такое Заклинание, и что с ними делать?"
TID_FAQ_TITLE_TEXTSIZE,Can I increase the text size?,Est-il possible d'augmenter la taille du texte ?,Kann ich die Textgröße erhöhen?,¿Puedo aumentar el tamaño del texto?,Posso ingrandire le dimensioni del testo?,Kan ik de tekst groter maken?,Kan jeg gjøre teksten større?,Posso aumentar o tamanho do texto?,Yazı boyutunu artırabilir miyim?,テキストの表示サイズは大きくできますか？,我能否调节字体大小？,텍스트 크기를 키울 수 있나요?,Я могу изменить размер текста?
TID_FAQ_TITLE_TROOPS,What happened to the troops that survived the battles?,Qu'arrive-t-il aux troupes ayant survécu au combat ?,"Was passierte mit den Truppen, die die Kämpfe überlebt haben?",¿Qué es de las tropas que sobreviven los combates?,Cos'è successo alle truppe sopravvissute alle battaglie?,Wat is er met de troepen gebeurd die de gevechten hebben overleefd?,Hva skjedde med soldatene som overlevde slaget?,O que aconteceu com as tropas que sobreviveram às batalhas?,Savaştan sonra hayatta kalan ordulara ne oldu?,戦闘で生き残ったはずのユニットはどこへいってるのでしょうか？,战斗中幸存下来的部队到哪儿去了呢？,전투에서 살아남은 유닛은 어떻게 되나요?,"Что случилось с воисками, пережившие бой?"
TID_FAQ_TITLE_TROPHIES,How does the trophy system work?,Comment fonctionne le système de trophées ?,Wie funktioniert das Trophäen-System?,¿Cómo funciona el sistema de trofeos?,Come funziona il sistema dei trofei?,Hoe werkt het trofeesysteem?,Hvordan virker trofésystemet?,Como funciona o sistema de troféus?,Ödül sistemi nasıl çalışıyor?,トロフィーはどんな仕組みですか？,奖杯是如何计算的？,트로피 시스템은 어떻게 운영되나요?,Как работает система трофеев?
TID_FAQ_TITLE_UPGRADES,How do I upgrade my buildings?,Comment améliorer mes bâtiments ?,Wie verbessere ich meine Gebäude?,¿Cómo mejoro mis edificios?,Come posso migliorare i miei edifici?,Hoe kan ik mijn gebouwen upgraden?,Hvordan oppgraderer jeg mine bygninger?,Como eu atualizo as minhas construções?,Binalarımı nasıl yükseltirim?,建物をアップグレードするにはどうすればよいですか？,如何升级建筑？,건물은 어떻게 업그레이드하나요?,Как улучшить здания?
TID_FAQ_WINDOW_TITLE,Help and support,Aide et assistance,Hilfe und Kundendienst,Ayuda y soporte técnico,Guida e supporto,Hulp en ondersteuning,Hjelp og støtte,Ajuda e suporte,Yardım ve destek,ヘルプとサポート,帮助与支持,도움말 및 지원,Помощь и поддержка
TID_FEEDBACK_BUTTON,Report an issue,Signaler un problème,Ein Problem melden,Informar de un problema,Segnala un problema,Een probleem melden,Rapporter et problem,Reportar um problema,Sorun bildir,問題を報告,Email,문제점 제보,Сообщить о проблеме
TID_FEEDBACK_BUTTON1,Purchasing Issue,Problème à l'achat,Kaufproblem,Problema con la compra,Problema con l´acquisto,Aankoopprobleem,Problem med kjøp,Problema na compra,Satın Alma Sorunu,購入時の問題,付费问题,구매 문의,Проблема с покупкой
TID_FEEDBACK_BUTTON2,Connection Issue,Problème de connexion,Verbindungsproblem,Problema de conexión,Problema di connessione,Verbindingsprobleem,Problem med tilkobling,Problema na conexão,Bağlantı Sorunu,接続の問題,连接问题,연결 문의,Проблема с подключением
TID_FEEDBACK_BUTTON3,Other Problem,Autre problème,Anderes Problem,Otro problema,Problema di natura diversa,Ander probleem,Annet problem,Outro problema,Başka Sorun,その他の問題,其他问题,다른 문의,Другая проблема
TID_FEEDBACK_BUTTON4,Feedback,Commentaires,Resonanz,Comentarios,Feedback,Feedback,Tilbakemelding,Comentários,GERİ BİLDİRİM,フィードバック,反馈意见,피드백,Отзыв
TID_FEEDBACK_BUTTON5,Lost Village,Village perdu,Verlorenes Dorf,Aldea perdida,Villaggio perso,Dorp verdwenen,Mistet landsby,Vila perdida,Kayıp Köy,村にアクセスできない,村庄丢失,마을 복구 문의,Потерянная Деревня
TID_FEEDBACK_EMAIL_TITLE,Feedback%20for%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans,Comentarios%20para%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans,Feedback%20voor%20Clash%20of%20Clans,Tilbakemelding%20for%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans,Feedback%20for%20Clash%20of%20Clans,给部落冲突Clash%20of%20Clans的反馈意见,Clash%20of%20Clans%20피드백,Отзыв%20о%20Clash%20of%20Clans
TID_FEEDBACK_INFO1,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n
TID_FEEDBACK_INFO2,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n
TID_FEEDBACK_INFO3,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n
TID_FEEDBACK_INFO4,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n
TID_FEEDBACK_INFO5,Please give us the following information about your lost village.\nExact name of village:\nTown Hall level:\nXP level:\nName of clan (if any):,Merci de nous fournir les informations suivantes sur votre village perdu.\nNom exact du village :\nNiveau de l'hôtel de ville :\nNiveau d'EXP :\nNom du clan (le cas échéant) :,Bitte gib uns die folgenden Informationen über dein verlorenes Dorf.\nGenauer Name des Dorfs:\nRathaus-Level:\nErfahrungslevel:\nName des Clans (falls vorhanden):,Proporciónanos la siguiente información sobre la aldea perdida.\nNombre exacto de la aldea:\nNivel de ayuntamiento:\nNivel de XP:\nNombre del clan (si perteneces a alguno):,Comunicaci le seguenti informazioni in merito al villaggio che hai perso.\nNome esatto del villaggio:\nLivello del municipio:\nLivello di esperienza:\nNome dell'eventuale clan:,Geef ons de volgende informatie over je verdwenen dorp.\nExacte naam van het dorp:\nStadhuisniveau:\nXP-niveau:\nClannaam (indien van toepassing):,Oppgi følgende informasjon om den forsvunne landsbyen.\nNøyaktig navn på landsby:\nRådhusnivå:\nXP-nivå:\nKlannavn (hvis du er med i en):,Forneça as seguintes informações sobre a sua vila perdida.\nNome exato da vila:\nNível do Centro da Vila:\nNível XP:\nNome do clã (se houver):,Lütfen kaybolan köyünüzle ilgili aşağıdaki bilgileri bize verin.\nKöyün tam adı:\nBelediye Binası seviyesi:\nTP seviyesi:\nKlanın adı (varsa):,以下を正確にご記入ください：\nアクセスできない村の名前：\nタウンホールのレベル：\n経験レベル：\n所属クラン名（クランに参加している場合）：,请提供关于您丢失的村庄的以下信息。\n村庄具体名称：\n大本营等级：\n经验等级：\n村庄所在部落名称（如果存在）：,복구할 마을에 관한 아래의 상세 정보를 알려주세요.\n정확한 마을 이름:\n마을 회관 레벨:\nXP 레벨:\n클랜 이름(있는 경우):,Нам нужна следующая информация о потерянной деревне.\nТочное название деревни:\nУровень Ратуши:\nУровень игрового опыта:\nНазвание клана (если есть):
TID_FEEDBACK_MAIL_TEXT,\n\n\n---------DO NOT DELETE!---------\n<tags>\n------------------------------\n,\n\n\n-------NE PAS EFFACER !-------\n<tags>\n------------------------------\n,\n\n\n---------NICHT LÖSCHEN!---------\n<tags>\n------------------------------\n,\n\n\n---------¡NO BORRAR!---------\n<tags>\n------------------------------\n,\n\n\n---------NON CANCELLARE!---------\n<tags>\n------------------------------\n,\n\n\n---------NIET VERWIJDEREN!---------\n<tags>\n------------------------------\n,\n\n\n---------IKKE SLETT!---------\n<tags>\n------------------------------\n,\n\n\n---------NÃO APAGAR!---------\n<tags>\n------------------------------\n,\n\n\n---------SİLMEYİN!---------\n<tags>\n------------------------------\n,\n\n\n---------以下は削除せず、そのまま送信してください。---------\n<tags>\n------------------------------\n,\n\n\n---------请勿删除！---------\n<tags>\n------------------------------\n,\n\n\n--------삭제하지 마세요!--------\n<tags>\n------------------------------\n,\n\n\n---------НЕ УДАЛЯТЬ!---------\n<tags>\n------------------------------\n
TID_FINISH_BUTTON,Finish,Terminer,Beenden,Acabar,Fine,Einde,Fullfør,Terminar,Bitir,完了,完成,완료,Закончить
TID_FINISH_SPELL,Finish now:,Terminer maintenant :,Jetzt beenden:,Finalizar ya:,Completa subito:,Nu voltooien:,Bli ferdig nå,Concluir agora:,Şimdi bitir:,今すぐ完了：,立刻完成：,즉시 완성:,Заверши Сейчас:
TID_FINISH_TRAINING,Finish Training:,Terminer la formation :,Training beenden:,Terminar entrenamiento:,Termina addestramento:,Voltooi training van:,Fullfør trening:,Concluir Treinamento:,Eğitimi Bitir:,訓練短縮,立刻完成训练：,훈련 완료:,Закончить Тренировку:
