TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP
TID_HINT_REPLAY,You can watch Battle Replays from the Battle Log!,Vous pouvez visionner les ralentis de bataille depuis le journal de bataille !,Schau Wiederholungen von Kämpfen in der Kampfhistorie an!,¡Puedes ver repeticiones de batallas desde Combates!,Puoi guardare i replay degli scontri dal resoconto delle battaglie!,Met het gevechtslogboek kun je gevechten nogmaals bekijken,Du kan se slag i reprise via slagboken!,Você pode ver repetições das batalhas no Registro de Batalha!,Savaş Günlüğünde Savaş Tekrarlarını izleyebilirsiniz!,バトルログからバトルのリプレイをご覧いただけます。
TID_HINT_RESOURCE_LOSSES,"Even if your village is completely destroyed, you always keep some of your Gold and Elixir","Même si votre village est détruit, vous conserverez toujours une partie de votre or et de votre elixir","Selbst wenn dein Dorf komplett zerstört wurde, behältst du immer etwas deines Goldes und Elixiers","Incluso aunque tu aldea sea destruida completamente, siempre puedes conservar algo de tu oro y elixir.","Anche se il tuo villaggio è stato completamente distrutto, mantieni sempre un po' del tuo Oro ed Elisir","Zelfs als je dorp wordt verwoest, hou je altijd een beetje Goud en Elixer",Selv når din bygd er destruert vil du alltid beholde litt av ditt gull og eliksir,"Mesmo se sua vila for completamente destruída, sempre sobra algo do seu Ouro e Elixir","Köyünüz tamamen imha edilse bile, Altın ve İksirinizin bir kısmı her zaman elinizde kalır",村が完全に破壊されてしまっても、一部のゴールドとエリクサーは残しておけます。
TID_HINT_RESOURCE_UPGRADE_NOT_FUNCTIONING,Gold Mines and Elixir Collectors do not generate resources while they are being upgraded,Les mines d'or et les extracteurs d'élixir ne génèrent pas de revenus en cours d'amélioration,Goldminen und Elixiersammler generieren keine Resourcen während eines Upgrades,Las Minas de oro y los Recolectores de elixir no generan recursos mientras están siendo actualizados.,"Le Miniere d'Oro e gli Oggetti Elisir non generano risorse, mentre sono in fase di aggiornamento",Goudmijnen en Elixerverzamelaars leveren geen grondstoffen op als ze worden verbeterd,Gullgruver og eliksirsamlere genererer ikke ressurser mens de oppgraderes,Minas de Ouro e Coletores de Elixir não geram recursos durante sua atualização,Altın Madenleri ve İksir Toplayıcıları üst seviyeye çıkarılırken kaynak üretemezler,ゴールド採掘坑やエリクサーコレクターをアップグレードしている間は、リソースの生成ができなくなります。
TID_HINT_REVENGE_OF_REVENGE,Revenge attack is unavailable against players that you attacked first.,La revanche sur d'autres joueurs n'est pas possible lorsque vous avez attaqué le premier.,"Racheangriffe gegen Spieler, die du zuerst angegriffen hast, sind nicht möglich.",El ataque por venganza no está disponible contra jugadores a los que tú hayas atacado primero.,L´attacco Vendetta non è disponibile contro i giocatori che hai attaccato per primo.,De wraakaanval kun je niet inzetten tegen spelers die jou als eerst aan hebben gevallen.,Hevnangrep er ikke tilgjengelig mot spillere som du angrep først.,Ataque de vingança não está disponível contra jogadores que você atacou primeiro.,"İntikam saldırısını, ilk saldıran tarafın siz olduğunuz oyunculara karşı kullanamazsınız.",先制攻撃をしたプレイヤーに対して報復攻撃をすることはできません。
TID_HINT_SHIELD,Taking a break from Clash of Clans? Buy a Shield to protect your trophies!,Vous faites une pause de Clash of Clans ? Achetez un bouclier pour protéger vos trophées !,"Du brauchst eine Pause von Crash of Clans? Kaufe ein Schild, um deine Trophäen zu schützen!",¿Descansando de Clash of Clans? Compra un escudo y protege tus trofeos,Hai bisogno di una pausa da Clash of Clans? Acquista uno scudo per proteggere i tuoi trofei!,Even een pauze bij Clash of Clans? Koop een schild om je trofeeën mee te beschermen!,Tar du pause fra Clash of Clans? Kjøp skjold for å beskytte dine troféer!,Numa pausa de Clash of Clans? Compre um Escudo para proteger os seus troféus!,Oyunumuza ara vermek mi istiyorsunuz? Kupaları korumak için kalkan satın alın!,休憩しますか？シールドを購入してトロフィーを守りましょう！
TID_HINT_SHIELD2,An active Shield protects you from all attacks,Un bouclier actif vous protège de toutes les attaques,Ein aktives Schild schützt dich vor allen Angriffen,Un escudo activo te protege de todos los ataques,Uno scudo attivo ti proteggerà da tutti gli attacchi,Een actief Schild beschermt je tegen alle aanvallen,Et aktivt skjold beskytter deg fra alle angrep,Um Escudo ativo protege-o de todos os ataques,Etkin bir Kalkan sizi her türlü saldırıdan korur,シールドを有効にするとどんな攻撃からも守ることができます。
TID_HINT_SHIELD_GAIN,You get a free Shield if an attacker destroys your village,Vous recevrez un bouclier gratuit si un attaquant détruit votre village,"Du erhältst einen Gratis-Schild, wenn dein Dorf zerstört wird",Recibirás un escudo gratis si un atacante destruye tu aldea,"Puoi ottenere uno scudo gratis, se un nemico ti dovesse attaccare e dovesse distruggere il tuo villaggio",Je krijgt een gratis Schild als een aanvaller je dorp verwoest,Du får et gratis skjold vist en fiende angriper din bygd,Ganhe um Escudo grátis se um atacante destruir a sua vila,Bir saldırgan köyünüzü yokederse ücretsiz bir kalkan alırsınız,村が攻撃を受けて破壊されると、無料でシールドがもらえます。
TID_HINT_SHIELD_GAIN_TIME,You get a longer lasting shield if your village is destroyed completely,Vous aurez un bouclier plus long si votre village est entièrement détruit.,"Du erhältst einen Schild von längerer Dauer, wenn dein Dorf vollständig zerstört wird","Si destruyen tu aldea por completo, obtendrás un escudo que durará más tiempo.","Se il tuo villaggio è completamente distrutto, lo scudo durerà più a lungo.",Je krijgt een schild dat langer meegaat als je dorp volledig is verwoest,Du får et skjold som varer lenger hvis landsbyen din er helt ødelagt,Você recebe um escudo de maior duração se a sua vila for destruída por completo,"Köyün tamamen yok edilirse, etkinliği daha uzun sürecek olan kalkan kazanırsın",村が完全に破壊されてしまうと最長時間のシールドがもらえます。
TID_HINT_SHIELD_LOSE,"If you attack another player while you have an active Shield, you will lose the Shield","Si vous attaquez un autre joueur alors que vous disposez d'un bouclier actif, vous perdrez le bouclier","Wenn du einen Spieler mit aktivem Schild angreifst, verlierst du den Schild","Si atacas a otro jugador mientras tengas un escudo activo, perderás el escudo","Se dovessi attaccare un altro giocatore mentre disponi di uno scudo attivo, lo perderai",Als je een andere speler aanvalt terwijl je een actief Schild hebt verlies je dit Schild,Vist du angriper en spiller mens du har aktivt skjold så vil du miste skjoldet,"Se atacar outro jogador enquanto tiver um Escudo ativo, perderá o Escudo","Etkin bir kalkanınız varken başka bir oyuncuya saldırırsanız, Kalkanınızı kaybedersiniz",シールドを起動している間に別のプレイヤーを攻撃すると、シールドは消えてしまいます。
TID_HINT_SHIELD_SINGLE_PLAYER,You can attack the Goblin Horde (play single player missions) without losing your active Shield,Vous pouvez attaquer la Horde de gobelins (dans les missions solo) sans perdre votre bouclier,"Du kannst die Goblinhorde angreifen (Einzelspielermission), ohne dein aktives Schild zu verlieren",Puedes atacar a la horda de duendes (misiones para un jugador) sin perder tu escudo activo,Puoi attaccare le orde di Goblin (basta intraprendere delle missioni come giocatore singolo) senza perdere il tuo scudo attivo,Je kunt de Koboldhorde aanvallen (speel missies met een speler) zonder je actieve Schild kwijt te raken,Du kan angripe trollhorden (i enkelspiller spill) uten å miste ditt aktive skjold,Você pode atacar a Horda Goblin (jogue missões single player) sem perder o Escudo ativo,Etkin Kalkanınızı kaybetmeden Goblin Sürüsüne (tek oyuncu görevlerini oynayın) saldırabilirsiniz,シールドを起動したままでゴブリンの大軍を攻撃できます（シングルプレイでのミッション中）
TID_HINT_SINGLE_PLAYER_REWARDS,Need a bit more gold for an upgrade? Take it from the Goblins in a single player mission!,Besoin d'un peu plus d'or pour une amélioration ? Prenez-le chez les gobelins dans une mission solo !,Nicht genug Gold für ein Upgrade? Hol´s dir von den Goblins (Einzelspielermission)!,¿Necesitas más oro para una mejora? ¡Cógeselo a los duendes en misiones de un jugador!,Hai bisogno di un po' d'oro in più per richiedere un upgrade? Rubalo ai Goblin in una missione come giocatore singolo!,Heb je wat meer goud nodig voor een upgrade? Pak het van de Kobolden in een missie met één speler!,Trenger du mer gull til oppgradering? Ta det fra trollene i enkelspiller spill!,Precisa de mais ouro para uma atualização? Tire-o dos Goblins numa missão single player!,Yükseltme için altına mı ihtiyaç var? Tek oyuncu görevi ile Goblinlerden altın alabilirsiniz!,アップグレードにゴールドが必要ですか？シングルプレイのミッションでゴブリンたちからゴールドを奪いましょう。
TID_HINT_SPELL_HEALING,The Healing Spell creates a ring of healing that heals your units while inside.,Le sort de guérison crée un anneau guérisseur et soigne toutes les unités qui se trouvent à l'intérieur de ce dernier.,"Der Heilungszauber erzeugt einen Heilungsring, der deine Einheiten in seinem Inneren heilt.",El hechizo curativo crea un círculo de sanación que cura a tus unidades mientras se hallan en su interior.,L´Incantesimo curativo crea un anello di salute che guarisce le truppe che si trovano all´interno.,De helende spreuk creëert een helende cirkel die eenheden omhult en geneest.,Helbredelsesformelen lager en ring av helbredelse som gjør enhetene friske når de er innenfor.,O Feitiço de Cura cria um círculo curativo que regenera as suas unidades enquanto estiverem dentro dele.,"İyileştirme Büyüsü, birimlerin içindeyken birimlerini iyileştiren bir şifa çemberi oluşturur.",ヒーリングの呪文を使うとヒーリングリングができ、この中にいる間回復できます。
TID_HINT_SPELL_JUMP,The Jump Spell creates a ring which allows your units to jump over walls.,Le sort de Saut crée un cercle permettant à vos unités de sauter au-dessus des murs.,"Der Sprung-Zauberspruch erzeugt einen Ring, der es deinen Einheiten ermöglicht, über Wände zu springen.",El hechizo de salto crea un círculo que permite a tus unidades saltar por encima de las murallas.,L´incantesimo del Salto crea un anello che permette alle tue unità di superare i muri.,De sprongspreuk trekt een cirkel om je eenheden waardoor ze over muren kunnen springen.,Hopeformelen lager en ring som gjør at enhetene dine kan hoppe over murer.,O Feitiço de Salto cria um círculo que permite as suas unidades pularem por cima de muros.,"Atlama büyüsü, içerisinde askerlerinin duvarın üzerinden atlamasını sağlayacak bir halka oluşturur.",ジャンプの呪文を使うとリングができ、このリングによってユニットが壁を飛び越えられるようになります。
TID_HINT_SPELL_JUMP_BIG_UNITS,"You can upgrade the Jump Spell to allow Giants, P.E.K.K.A.s and Heroes to jump over walls.","Vous pouvez améliorer le sort de saut pour permettre aux géants, P.E.K.K.A.s et héros de sauter par-dessus les remparts.","Du kannst deinen Sprung-Zauberspruch verbessern, damit Riesen, P.E.K.K.A.s und Helden über Mauern springen können.","Puedes mejorar el Hechizo de Salto para conseguir que los gigantes, las P.E.K.K.A y Héroes puedan saltar los muros.","Puoi migliorare l'incantesimo del Salto per permettere a Giganti, P.E.K.K.A. ed Eroi di saltare oltre i muri.","Je kunt de sprongspreuk upgraden zodat reuzen, P.E.K.K.A.s en helden over muren kunnen springen.","Du kan oppgradere hoppeformelen slik at kjemper, P.E.K.K.A.-er og helter kan hoppe over murer.","Você pode atualizar o Feitiço de Salto para permitir que Gigantes, P.E.K.K.A.s e Heróis saltem sobre muros.","Devlerin, P.E.K.K.A.'ların ve Kahramanların duvarların üzerinde atlamasını sağlamak için Atlama Büyüsü'nü yükseltebilirsin.",ジャンプの呪文をアップグレードすると、ジャイアント、P.E.K.K.A.、ヒーローたちが壁を跳び越えられるようになります。
TID_HINT_SPELL_LIGTHNING,The Lightning Spell damages units and buildings in a small area.,Le Sort de foudre inflige des dégâts aux unités et bâtiments sur une petite zone.,Der Blitzzauberspruch verursacht Schaden an Einheiten und Gebäuden in einem kleinen Bereich.,El hechizo de rayo daña a las unidades y los edificios de una zona reducida.,L´incantesimo fulmine danneggia le unità e gli edifici in un´area circoscritta.,De bliksemspreuk brengt schade toe aan eenheden en gebouwen in een klein gebied.,Lynformelen skader enheter og bygninger på et lite område.,O Feitiço de Relâmpago danifica unidades e construções em uma pequena área.,"Yıldırım Büyüsü, küçük bir alandaki birimlere ve binalara hasar verir.",稲妻の呪文は、狭い範囲のユニットや建物にダメージを与えます。
TID_HINT_SPELL_RAGE,The Rage Spell creates a ring of rage that makes your units stronger and faster while inside.,Le sort de rage crée un anneau de rage qui rendra vos unités plus rapides et plus puissantes tant qu'elles se trouvent à l'intérieur de ce dernier.,"Der Wutzauber erzeugt einen Wutring, der deine Einheiten in seinem Inneren stärker und schneller macht.",El hechizo de rabia crea un círculo de rabia que hace que las unidades que tengas en su interior sean más fuertes y rápidas.,L´Incantesimo furia crea un anello di furore che fortifica le truppe che si trovano all´interno.,De woedespreuk creëert een cirkel van woede die eenheden omhult en sterker en sneller maakt.,Raseriformelen lager en ring av raseri som gjør enhetene dine sterkere og raskere når de er innenfor.,O Feitiço de Fúria cria um círculo de fúria que torna as suas unidades mais fortes e mais rápidas enquanto estiverem dentro.,"Öfke Büyüsü, birimlerin içindeyken birimlerini daha güçlü ve daha hızlı yapan bir öfke çemberi oluşturur.",怒りの呪文を使うとこのリングができ、リングの中にいる間はユニットの強さが上がり動作も速くなります。
TID_HINT_TESLA_HIDDEN,The Hidden Tesla tower is hidden from attackers until they come close enough,"La tour Tesla camouflée n'est pas visible par les assaillants, jusqu'à ce qu'ils s'en rapprochent très près","Der verborgene Tesla ist vor Angreifern verborgen, bis sie nahe genug sind",Torre Oculta de Tesla : oculta de los atacantes hasta que se acercan lo suficiente,La torre del Tesla occulto è invisibile ad eventuali utenti che ti vogliono attaccare fino a quando non si avvicinano a sufficienza,De Verborgen Teslatoren is verborgen voor aanvallers totdat ze voldoende dichtbij komen,Det skjulte Tesla tårnet skjules fra fienden til den er nærme nok,A Torre Oculta de Tesla está oculta dos atacantes até chegarem perto o bastante,"Gizli Tesla kulesi, saldırganlar ona yaklaşana kadar onlar için görünmez kalır",秘密のテスラタワーは、敵が近くにやってくるまで見えないようになっています。
TID_HINT_TESLA_TARGET,The Hidden Tesla can attack both air and ground units,La Tesla camouflée peut attaquer à la fois les unités aériennes et terrestres,Der verborgene Tesla greift Boden- und Lufteinheiten an,Tesla oculto: puede atacar unidades aéreas y de tierra,"Il Tesla occulto può attaccare sia le unità di terra, sia quelle volanti",De verborgen Tesla kan zowel lucht- als grondeenheden aanvallen,Den skjulte Tesla kan både angripe mål på bakken og i luften,A Tesla Oculta pode atacar as unidades terrestres e aéreas,Gizli Tesla kara ve hava birimlerine saldırabilir,秘密のテスラ は、空中と地上の両方のユニットをターゲットにできます。
TID_HINT_TRAPS_TARGET,Traps are hidden from the attackers until they get close enough,"Les pièges ne sont pas visibles par les assaillants, jusqu'à ce qu'ils s'en rapprochent trop près","Fallen sind vor Angreifern verborgen, bis sie nahe genug sind",Trampas: ocultas hasta que los atacantes se acerquen lo suficiente,Le trappole sono invisibili ad eventuali utenti che la vogliono attaccare fino a quando non sono abbastanza vicini,Vallen zijn verborgen voor de aanvallers totdat ze voldoende dichtbij komen,Feller skjules fra fienden til den er nærme nok,As armadilhas estão ocultas dos atacantes até eles estarem perto o bastante,"Tuzaklar, saldırganlar ona yaklaşana kadar onlar için görünmezdir",トラップは、敵が近くにやってくるまで見えないようになっています。
TID_HINT_TROPHY_COUNT,All Trophies that you win are deducted from your opponents' trophies,Tous les trophées que vous gagnez sont déduits des trophées de vos opposants,Alle eroberten Trophäen werden von denen des Gegners abgezogen,Todos los trofeos que ganes se restan de los trofeos de tus oponentes,Tutti i trofei che hai vinto sono stati sottratti al palmares dei tuoi avversari,Alle trofeeën die je wint worden afgetrokken van de trofeeën van je tegenstanders,Alle troféer du vinner trekkes fra din fiende,Todos os Troféus ganhos serão deduzidos dos troféus dos seus adversários,"Kazandığınız bütün kupalar, rakiplerinizin kupalarından eksilir",トロフィーを勝ち取ると、対戦相手のトロフィーが減ります。
TID_HINT_UNLOCKS,Upgrade your Town Hall to unlock new buildings and new upgrade levels for your current buildings,Améliorez votre hôtel de ville pour débloquer de nouveaux bâtiments et de nouveaux niveaux d'amélioration pour vos bâtiments actuels,"Verbessere dein Rathaus, um neue Gebäude und neue Level für Gebäude freizuschalten",Actualiza tu ayuntamiento y desbloquea nuevos edificios y niveles de mejora para los que tienes,Potenzia il tuo Municipio per sbloccare nuovi edifici e nuovi livelli di upgrade per gli edifici di cui disponi attualmente,Verbeter je Stadhuis om nieuwe gebouwen en nieuwe upgradelevels voor je huidige gebouwen te ontgrendelen,Oppgrader rådhuset for å låse opp nye bygninger og oppgradere nivået til bygninger du har,Atualize o seu Centro da Vila para liberar edifícios e níveis novos de atualização para os seus edifícios atuais,Yeni binaları ve mevcut binalarla ilgili yeni yükseltmeleri açmak için Belediye Binanızı yükseltin.,タウンホールをアップグレードして、新たな建物のロックと既存の建物の新しいアップグレードレベルのロックを解除しましょう。
TID_HINT_UPGRADE_CANNONS,Upgrade your cannons to improve your defense against intruders,Améliorez vos canons pour renforcer votre défense contre les intrus,"Kanonen aufrüsten, um deine Verteidigung gegen Eindringlinge zu verbessern",Mejora tus cañones para aumentar tu defensa contra los intrusos.,Aggiorna i tuoi cannoni per migliorare la difesa contro le intrusioni,Verbeter je kanonnen om je beter tegen indringers te kunnen beschermen,Oppgrader dine kanoner for å forbedre ditt forsvar mot inntrengere,Atualize seus canhões para melhorar sua defesa contra intrusos,Savunmanızı geliştirmek için toplarınızı yükseltin,キャノンをアップグレードして、侵入者に対する防御力を上げましょう
TID_HINT_UPGRADE_MINES,Out of gold? Try upgrading your gold mines,Plus d'or ? Essayez d'améliorer vos mines d'or,Kein Gold mehr? Versuche deine Goldminen aufzurüsten.,¿Se te ha acabado el oro? Prueba a mejorar tus minas de oro.,Non hai più oro? Prova a migliorare le miniere d'oro,Geen goud meer? Probeer je goudmijnen te upgraden,Tom for gull? Prøv å oppgrader dine gullgruver,Acabou o ouro? Atualize suas minas de ouro,Altının mı bitti? Altın madenlerini üst seviyeye çıkar,ゴールドがありませんか？ゴールド採掘坑をアップグレードしてみましょう。
TID_HINT_UPGRADE_TROOPS,Improve your army! Build the Laboratory and upgrade your troops,Améliorez votre armée ! Bâtissez le laboratoire et améliorez vos troupes.,Verbessere deine Armee! Bau ein Labor und verbessere deinen Truppen,¡Mejora tu ejército! Construye el laboratorio y mejora tus tropas,Migliora il tuo esercito! Costruisci un laboratorio e potenzia le tue truppe,Verbeter je leger! Bouw het Laboratorium en verbeter je troepen.,Forbedre din hær! Bygg laboratoriet og oppgrader dine tropper,Melhore o seu exército! Erga o Laboratório e atualize as suas tropas,Ordunuzu geliştirin! Laboratuar inşa edin ve birliklerinizi yükseltin.,兵士の能力を上げましょう！研究所を建てて軍隊をアップグレードしましょう。
TID_HINT_UPGRADE_WALLS,Upgrade your walls to slow down the enemy,Améliorez vos murs pour ralentir l'ennemi,"Rüsten deine Mauern auf, um den Feind langsamer zu machen!",Mejora tus muros para frenar al enemigo.,Migliora i muri per rallentare il nemico,Verstevig je muren om de vijand te vertragen,Oppgrader din mur for å bremse fienden,Atualize seus muros para retardar o inimigo,Düşmanı yavaşlatmak için duvarlarını yükselt,壁をアップグレードして、敵をスピードを落としましょう
TID_HINT_USABLE_WHILE_UPGRADING,"Camps, Clan Castles and Storages remain functional while they are being upgraded.","Les camps militaires, châteaux du clan et réserves restent fonctionnels pendant leur amélioration.","Lager, Clanburgen und Lagerplätze behalten ihre Funktion während einer Verbesserung bei.","Los campamentos, castillos del clan y almacenes siguen siendo funcionales mientras se mejoran.","Campi, Castelli e Depositi continuano a svolgere la loro funzione durante il miglioramento.","Kampen, clankastelen en opslageenheden blijven functioneel tijdens het upgraden.","Leirer, klanslott og lagre er fortsatt i funksjon mens de oppgraderes.","Campos do Exército, Castelos do Clã e Armazenagens permanecem funcionais enquanto estão sendo atualizados.","Kamplar, Klan Kaleleri ve Depolar yükseltilirken işlevlerini yerine getirmeye devam eder.",キャンプ、クラン砦、貯蔵庫はアップグレード中でも使用できます。
TID_HINT_USE_SPELLS,Spells can have a huge effect on the outcome of the battle. Be sure to use them!,Les sorts peuvent avoir un effet décisif sur les combats. Utilisez-les à bon escient !,Zaubersprüche können einen großen Einfluss auf den Kampfausgang haben. Nutze sie!,Los hechizos pueden influir enormemente en el resultado de una batalla. ¡No dudes en usarlos!,Gli incantesimi possono influenzare molto le sorti della battaglia. Non dimenticare di usarli!,Spreuken hebbeb enorm veel uitvloed op de uitkomst van de strijd. Zorg dat je ze gebruikt!,Formler kan ha stor innvirkning på utfallet av kampen. Sørg for å bruke dem!,Os feitiços têm um grande efeito sobre o desfecho das batalhas. Não esqueça de usá-los!,"Büyüler, savaşın sonucunu inanılmaz etkileyebilir. Kullanmayı unutma!",呪文はバトルの結果に多大な影響を及ぼします。気を付けて使ってください！
TID_HINT_WALLBREAKER_DAMAGE,"Wall Breakers deal major damage to enemy walls, but blow up themselves in the process","Les démolisseurs engendrent beaucoup de dommages aux murs ennemis, mais se suicident en même temps","Mauerbrecher verursachen großen Schaden an feindlichen Mauern, sprengen sich dabei aber in die Luft","Los rompemuros causan graves daños a las murallas enemigas, pero se revientan a sí mismos en el proceso","Gli spaccamuro infliggeranno gravi danni alle mura nemiche, ma esploderanno nel farlo","Muurbrekers brengen zware schade toe aan de muren van de vijand, maar blazen zichzelf daarbij wel op.","Murbrekkere ødelegger fiendemurer kraftig, men sprenger seg selv i prosessen","Os Destruidores de Muros fazem maiores danos aos muros dos inimigos, mas explodem no processo",Duvar Kırıcılar duvarlara büyük zarar verir ama bunu yaparken kendilerini havaya uçururlar,ウォールブレイカ―は敵の壁に大ダメージを与えますが、途中で自爆してしまいます。
TID_HINT_WALLBREAKER_TARGET,Wall Breakers will try to destroy the nearest wall,Les casseurs de murs viseront le mur le plus proche,Mauerbrecher werden die nächste Mauer zerstören,Los rompemuros intentarán destruir el muro más cercano.,Gli Arieti cercheranno di distruggere il muro più vicino,Muurbrekers proberen de dichtstbijzijnde muur te vernietigen,Murbrekkere vil prøve å knuse nærmeste mur,Destruidores de Muros tentarão destruir o muro mais próximo,Duvar Kırıcılar en yakın duvarı imha etmeye çalışır,ウォールブレイカ―は、一番近くの壁を破壊してきます。
TID_HINT_WELCOME,Once upon a time in a clearing in a magical forest...,"Il était une fois, dans une clairière dans une forêt magique...",Es war einmal eine Lichtung in einem magischen Wald ...,Érase una vez en el claro de un bosque mágico...,C'era una volta in una radura di una foresta magica ...,Er was eens een open plek in een magisch bos....,En gang i tiden i en åpning i en magisk skog...,Era uma vez numa clareira numa floresta mágica...,Bir zamanlar sihirli bir ormandaki bir açıklık alanda...,むかしむかし、魔法の森の空き地で・・・
TID_HINT_WIZARD_INFO,"Wizards can dish out high damage, but can't take much in return","Les magiciens peuvent asséner des dommages importants, mais ne peuvent pas en encaisser beaucoup","Magiere verursachen hohen Schaden, vertragen aber nicht viel","Los magos pueden hacer mucho daño, pero no conseguirán mucho","Gli stregoni possono fare molti danni, ma in cambio non possono resistere molto","Tovenaars kunnen veel schade aanrichten, maar kunnen zelf maar weinig hebben","Trollmenn kan skade mye, men tåler lite selv","Os Magos podem fazer grandes danos, mas não podem receber muito em troca",Büyücüler büyük zarar verebilirler ama fazla zarara dayanamazlar,ウィザードは大ダメージを加えることができますが、あまりダメージを受けることはできません。
TID_HINT_WIZARD_TOWER_DAMAGE,The Wizard Tower deals damage against all units in the target area,La tour de sorciers inflige des dommages à toutes les unités dans la zone ciblée,Der Magierturm schädigt alle Einheiten im Zielgebiet,Torre del mago: causa daños en todas las unidades en la zona objetivo,La torre dello stregone può infliggere un danno a tutte le unità nell'area obiettivo,De Tovenaartoren richt schade aan bij alle eenheden in het doelgebied,Trollmannstårnet skader alle enheter i det siktede området,O Mago da Torre causa danos a todas a todas as unidades na zona alvo,Büyücü Kulesi menzilindeki bütün birimlere zarar verebilir,ウィザードタワーは、ターゲットエリア内のすべてのユニットに対してダメージを与えます。
TID_HINT_WIZARD_TOWER_TARGET,The Wizard Tower can target both ground and air units,La tour de sorciers peut viser à la fois les unités terrestres et aériennes,Der Magierturm greift Boden- und Lufteinheiten an,Torre del mago: ataca unidades aéreas y de tierra,"La torre dello stregone può colpire sia le unità di terra, sia quelle volanti",De Tovenaartoren kan zowel lucht- als grondeenheden aanvallen,Trollmannstårnet kan både angripe mål på bakken og i luften,O Mago da Torre pode atingir unidades terrestres e aéreas,Büyücü Kulesi kara ve hava birimlerini hedef alabilir,ウィザードタワーは、空中と地上の両方のユニットをターゲットにできます。
TID_HINT_XBOW_AMMO,X-Bow uses Elixir as ammo. Remember to reload it after enemy attacks!,L'arc-X utilise l'élixir comme munition. N'oubliez pas de le recharger après les attaques ennemies !,"Der X-Bogen verwendet Elixier als Munition. Vergiss nicht, nach feindlichen Angriffen nachzuladen!",La X-Ballesta utiliza elixir como munición. ¡Recuerda recargarlo tras los ataques enemigos!,L´Arco-X usa l´Elisir come munizioni. Ricordati di ricaricarlo dopo un attacco.,De X-boog gebruikt elixir als munitie. Vergeet niet om hem na een aanval weer te laden!,X-buen bruker Eliksir som ammunisjon. Husk å lade den opp etter fiendtlige angrep!,A X-Besta usa elixir como munição. Lembre-se de recarregá-la após o inimigo atacar!,X-Topu mühimmat olarak İksir kullanır. Düşman saldırılarından sonra tekrar doldurmayı unutma!,クロスボウの弾にはエリクサーを使います。敵の攻撃の後に忘れずに装填してください。
TID_HINT_XBOW_LVL_8,Upgrading your Town Hall will grant you access to a new defensive weapon called X-Bow.,Améliorer votre hôtel de ville vous donnera accès à une nouvelle arme défensive : l'arc-X.,Die Verbesserung deines Rathauses ermöglicht dir Zugang zu einer neuen Verteidigungswaffe namens X-Bogen.,Si mejoras tu ayuntamiento tendrás acceso a una nueva arma defensiva llamada X-Ballesta.,"Migliorando il Municipio avrai accesso ad una nuova arma di difesa, chiamata Arco-X.","Door het stadhuis te upgraden, krijg je toegang tot een nieuw verdedigingswapen: de X-boog.","Hvis du oppgraderer Rådhuset, får du tilgang til et nytt forsvarsvåpen som kalles X-buen.",Atualizar o Centro da Vila irá lhe conceder acesso a uma nova arma defensiva: a X-Besta.,"Köy Binanı yükselttiğinde, yeni bir savunma silahı olan X-Topuna erişme imkânı kazanacaksın.",タウンホールをアップグレードするとクロスボウという新しい防衛武器にアクセスできるようになります。
TID_HINT_XBOW_TARGETS_1,You can set the X-Bow to attack both air and ground targets at a short range.,Vous pouvez définir l'arc-X pour attaquer à la fois les cibles aériennes et au sol à courte distance.,"Du kannst den X-Bogen so einstellen, dass er sowohl Luft- als auch Bodenziele auf kurze Distanz angreift.",Puedes configurar la X-Ballesta para atacar objetivos aéreos o terrestres a corta distancia.,Puoi impostare l´Arco-X per attaccare obiettivi aerei e di terra a breve distanza.,Je kunt de X-boog instellen om lucht- en gronddoelen aan te vallen die in de buurt staan,Du kan stille inn X-buen til å angripe mål både i luften og på bakken på kort avstand.,Você pode preparar a X-Besta para atacar alvos aéreos e terrestres a uma curta distância.,"X-Topunu, kısa menzil içerisindeki hem hava hem de kara hedeflerine saldıracak şekilde ayarlayabilirsin.",クロスボウをセットすると、短距離の空中と地上のターゲットを攻撃できます。
TID_HINT_XBOW_TARGETS_2,You can set the X-Bow to attack only ground targets at long range.,Vous pouvez définir l'arc-X pour attaquer uniquement les cibles au sol à longue distance.,"Du kannst den X-Bogen so einstellen, dass er nur Bodenziele auf lange Distanz angreift.",Puedes configurar la X-Ballesta para atacar sólo a blancos en tierra a larga distancia.,Puoi impostare l´Arco-X per attaccare solamente obiettivi di terra a lunga distanza.,Je kunt de X-boog ook instellen om alleen gronddoelen op grote afstand aan te vallen,Du kan stille inn X-buen til å angripe bare bakkemål på lang avstand.,Você pode preparar a X-Besta para atacar somente alvos terrestres a longa distância.,"X-Topunu aynı zamanda, sadece uzun menzildeki kara hedeflerine saldıracak şekilde de ayarlayabilirsin.",クロスボウをセットすると、長距離の地上のターゲットのみを攻撃できます。
TID_HITPOINTS,Hitpoints: <number>,Points de vie : <number>,Trefferpunkte: <number>,Vida: <number>,Punti ferita: <number>,Treffers: <number>,Treffpoeng: <number>,Pontos de Vida: <number>,Hasar Puanı: <number>,HP：<number>
