TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PL,PT,RU,TH,TR,VI
TID_STARTERARMY_TH11_GO_WITCH_3,TH11 – Go-Witch 3.0,قاعة المدينة 11 - انطلقي يا ساحرة 3.0,11本 - 石头女巫3.0,11本 - 石頭女巫3.0,"RH 11 – Auf die Hexe, fertig, los 3",Ayuntamiento de nivel 11: Bruja y compañía 3.0,تالار شهر 11 –گالم و ساحره 3.0,TH11 – Menonoita 3.0,HDV11 – Sortie des sorcières 3,BK11 – Go-Nenek Sihir 3.0,Municipio 11 - Streghe di pietra 3.0,タウンホール11 - ゴレネクロ3,마을회관 11 -마녀 출동 3.0,DB11 – Golem Perempuan Sihir 3.0,SH11 – Golem-heks 3.0,RH11 – Nisseheks 3.0,Ratusz 11 – Wiedźma do boju 3,CV11 - Danos complementares 3,Ратуша 11 — шабаш 3.0,ศาลากลาง 11 - แม่มดโกเล็ม 3.0,BB 11 - Cadı Hücumu 3.0,NC11 -Phù thủy và Thạch nhân 3.0
TID_STARTERARMY_TH12_DIG_AND_RIDE,TH12 - Over and Under 2,قاعة المدينة 12 - حوِّل، انتهى 2,12本 - 野猪矿工2.0,12本 - 野豬礦工2.0,RH 12 – Drunter und drüber 2,Ayuntamiento de nivel 12: Por arriba y por abajo 2,تالار شهر 12 - از بالا و زیر 2,TH12 – Yli ja ali 2,HDV12 – Course souterraine 2,BK12 – Atas dan Bawah 2,Mun. 12 - Minaccia dall'alto e dal basso 2,タウンホール12 - アップアンドダウン2,마을회관 12 - 위로 아래로 2,DB12 – Atas dan Bawah 2,SH12 – Over en onder 2,RH12 – Over og under 2,Ratusz 12 – Góra i dół 2,CV12 - Por cima e por baixo 2,Ратуша 12 — над землей и под землей 2,ศาลากลาง 12 - เหนือฟ้าใต้พิภพ 2,BB 12 - Alttan Üstten 2,NC12 - Trên mặt đất và Dưới đường hầm 2
TID_STARTERARMY_TH12_FIRE_IN_THE_SKY_3,TH12 – Fire in the Sky 3,قاعة المدينة 12 - نيران في السماء 3,12本 - 飞龙球3.0,12本 - 飛龍球3.0,RH 12 – Himmelsfeuer 3,Ayuntamiento de nivel 12: Cielos abrasadores 3,تالار شهر 12 – آتش در آسمان 3,TH12 – Tulta taivaalla 3,HDV12 – Ciel enflammé 3,BK12 – Langit Membara 3,Municipio 12 - Cielo in fiamme 3,タウンホール12 - スカイファイア3,마을회관 12 - 하늘 위의 불꽃 3,DB12 – Langit Membara 3,SH12 – Vuur in de lucht 3,RH12 – Ild på himmelen 3,Ratusz 12 – Ogień na niebie 3,CV12 - Fogo aéreo 3,Ратуша 12 — воздушная тревога 3,ศาลากลาง 12 - แสงไฟบนฟากฟ้า 3,BB 12 - Alevli Gökler 3,NC12 - Bầu trời rực lửa 3
TID_STARTERARMY_TH12_GO_WITCH_4,TH12 – Go-Witch 4.0,قاعة المدينة 12 - انطلقي يا ساحرة 4.0,12本 - 石头女巫4.0,12本 - 石頭女巫4.0,"RH 12 – Auf die Hexe, fertig, los 4",Ayuntamiento de nivel 12: Bruja y compañía 4.0,تالار شهر 12 –گالم و ساحره 4.0,TH12 – Menonoita 4.0,HDV12 – Sortie des sorcières 4,BK12 – Go-Nenek Sihir 4.0,Municipio 12 - Streghe di pietra 4.0,タウンホール12 - ゴレネクロ4,마을회관 12 -마녀 출동 4.0,DB12 – Golem Perempuan Sihir 4.0,SH12 – Golem-heks 4.0,RH12 – Nisseheks 4.0,Ratusz 12 – Wiedźma do boju 4,CV12 - Danos complementares 4,Ратуша 12 — шабаш 4.0,ศาลากลาง 12 - แม่มดโกเล็ม 4.0,BB 12 - Cadı Hücumu 4.0,NC12 - Phù thủy và Thạch nhân 4.0
TID_STARTERARMY_TH12_LAVALOON_2,TH12 – LavaLoon 2,قاعة المدينة 11 - بالون كلب الحمم 2,12本 - 经典狗球2.0,12本 - 經典狗球2.0,RH 12 – Lavaballon 2,Ayuntamiento de nivel 12: Globos y lava 2,تالار شهر 12 – لاوالون 2,TH12 – Laavapallo 2,HDV12 – Lava Love 2,BK12 – Balon Lava 2,Municipio 12 - Lava e mongolfiere 2,タウンホール12 - ラヴァルーン2,마을회관 12 - 라벌 2,DB12 – LavaLon 2,SH12 – Ballonhond 2,RH12 – Lavalong 2,Ratusz 12 – Lawalon 2,CV12 - Lavalão 2,Ратуша 12 — адские шары 2,ศาลากลาง 12 - ลาวาลูน 2,BB 12 - Lav ve Balon 2,NC12 - Nham khuyển và Khinh khí cầu 2
TID_STARTERARMY_TH13_DRAGONFIRE,TH13 – Dragonfire,قاعة المدينة 13 - نار التنانين,13本 - 龙骑流,13本 - 龍騎流,RH 13 – Drachenfeuer,Ayuntamiento de nivel 13: Fuego dracónico,تالار شهر 13 – آتش اژدها,TH13 – Lohikäärmetuli,HDV13 – Feu du dragon,BK13 – Api Naga,Municipio 13 - Draghi spietati,タウンホール13 - ドラゴンファイア,마을회관 13 - 드래곤 파이어,DB13 – Api Naga,SH13 – Drakenvuur,RH13 – Drageild,Ratusz 13 – Smoczy ogień,CV13 - Chamas dracônicas,Ратуша 13 — драконье пламя,ศาลากลาง 13 - เพลิงมังกร,BB 13 - Ejderha Alevi,NC13 -Lửa rồng
TID_STARTERARMY_TH13_HOGMINER,TH13 - Over and Under 3,قاعة المدينة 13 - حوِّل، انتهى 3,13本 - 野猪矿工3.0,13本 - 野豬礦工3.0,RH 13 – Drunter und drüber 3,Ayuntamiento de nivel 13: Por arriba y por abajo 3,تالار شهر 13 - از بالا و زیر 3,TH13 – Yli ja ali 3,HDV13 – Course souterraine 3,BK13 – Atas dan Bawah 3,Mun. 13 - Minaccia dall'alto e dal basso 3,タウンホール13 - アップアンドダウン3,마을회관 13 - 위로 아래로 3,DB13 – Atas dan Bawah 3,SH13 – Over en onder 3,RH13 – Over og under 3,Ratusz 13 – Góra i dół 3,CV13 - Por cima e por baixo 3,Ратуша 13 — над землей и под землей 3,ศาลากลาง 13 - เหนือฟ้าใต้พิภพ 3,BB 13 - Alttan Üstten 3,NC13 - Trên mặt đất và Dưới đường hầm 3
TID_STARTERARMY_TH14_DRAGONS,TH14 - Drag and Drop,قاعة المدينة 14 - اسحب وافلت,14本 - 飞龙气球,14本 - 飛龍氣球,RH 14 – Drag and Drop,Ayuntamiento de nivel 14: Arrastrar y soltar,تالار شهر 14 -کشیدن و رها کردن,TH14 – Vedä ja pudota,HDV14 – Glisser-déposer,BK14 – Seret dan Jatuhkan,Municipio 14 - Assalti aerei tattici,タウンホール14 - ドラッグ＆ドロップ,마을회관 14 - 드래그 앤 드롭,DB14 – Seret dan Jatuh,SH14 – Slepen en droppen,RH14 – Dra og slipp,Ratusz 14 – Przeciągnij i upuść,CV14 - Encomenda aérea,Ратуша 14 — прицельный удар,ศาลากลาง 14 - ลากแล้วปล่อย,BB 14 - Sürükle ve Bırak,NC14 - Kéo và Thả
TID_STARTERARMY_TH14_ELECTRIC_AIR,TH14 – Electro Storm 2,قاعة المدينة 14 - العاصفة الكهربائية 2,14本 - 雷电风暴2.0,14本 - 雷電風暴2.0,RH 14 – Elektrosturm 2,Ayuntamiento de nivel 14: Tormenta eléctrica 2,تالار شهر 14 – طوفان برقی 2,TH14 – Salamamyrsky 2,HDV14 – Électro-tempêtes 2,BK14 – Badai Elektro 2,Municipio 14 - Tempesta elettrica 2,タウンホール14 - ライドラストーム2,마을회관 14 - 일렉트로 스톰 2,DB14 – Ribut Elektro 2,SH14 – Elektrostorm 2,RH14 – Elektrostorm 2,Ratusz 14 – Elektroburza 2,CV14 - Tempestade de raios 2,Ратуша 14 — электроураган 2,ศาลากลาง 14 - พายุไฟฟ้า 2,BB 14 - Elektro Fırtına 2,NC14 - Cơn bão điện 2
TID_STARTERARMY_TH14_LAVALOON_3,TH14 – LavaLoon 3,قاعة المدينة 14 - بالون كلب الحمم 3,14本 - 经典狗球3.0,14本 - 經典狗球3.0,RH 14 – Lavaballon 3,Ayuntamiento de nivel 14: Globos y lava 3,تالار شهر 14 – لاوالون 3,TH14 – Laavapallo 3,HDV14 – Lava Love 3,BK14 – Balon Lava 3,Municipio 14 - Lava e mongolfiere 3,タウンホール14 - ラヴァルーン3,마을회관 14 - 라벌 3,DB14 – LavaLon 3,SH14 – Ballonhond 3,RH14 – Lavalong 3,Ratusz 14 – Lawalon 3,CV14 - Lavalão 3,Ратуша 14 — адские шары 3,ศาลากลาง 14 - ลาวาลูน 3,BB 14 - Lav ve Balon 3,NC14 - Nham khuyển và Khinh khí cầu 3
TID_STARTERARMY_TH15_ELECTROTITAN,TH15 – Shock Strikers,قاعة المدينة 15 - ضاربو الصدمات,15本 - 雷霆猛攻,15本 - 雷霆猛攻,RH 15 – Schockstreiter,Ayuntamiento de nivel 15: Golpe con descarga,تالار شهر 15 – مهاجمان برقی,TH15 – Sähköiskijät,HDV15 – Coups choquants,BK15 – Pukulan Mengejutkan,Municipio 15 - Assalti scioccanti,タウンホール15 - ショックフォース,마을회관 15 - 쇼크 스트라이커,DB15 –- Penyerang Mengejut,SH15 – Schokslag,RH15 – Støtangripere,Ratusz 15 – Rażący napastnicy,CV15 - Choques elétricos,Ратуша 15 — шокирующий удар,ศาลากลาง 15 - ยอดนักสู้ช็อตไฟฟ้า,BB 15 - Şok Ediciler,NC15 - Những chiến binh gây choáng
TID_STARTERARMY_TH15_MASS_MINERS,TH15 – Mass Miners,قاعة المدينة 15 - حشد عمال المناجم,15本 - 矿工海,15本 - 礦工海,RH 15 – Massenmineure,Ayuntamiento de nivel 15: Mineros en masa,تالار شهر 15 – توده معدنچی‌ها,TH15 – Kaivosmiesjoukko,HDV15 – Mineurs en masse,BK15 – Laskar Penambang,Municipio 15 - Minatori in massa,タウンホール15 - ディガーラッシュ,마을회관 15 - 대량의 광부,DB15 – Pelombong Berkumpul,SH15 – Massa mijnwerkers,RH15 – Massegravere,Ratusz 15 – Masa górników,CV15 - Mineração em massa,Ратуша 15 — толпа шахтеров,ศาลากลาง 15 - คนงานเหมืองหมู่มาก,BB 15 - Madenci Kitlesi,NC15 - Cơn bão Thợ mỏ
TID_STARTERARMY_TH16_AIR_RAID,TH16 – Champion Charge,قاعة المدينة 16 - هجوم البطل,16本 - 战神冲锋,16本 - 勇者衝鋒,RH 16 – Championansturm,Ayuntamiento de nivel 16: Luchadoras al ataque,تالار شهر 16 – حمله قهرمان,TH16 – Mestarisyöksy,HDV16 – Charge de champion,BK16 – Serbuan Jawara,Municipio 16 - Assalto da campioni,タウンホール16 - チャンピオンチャージ,마을회관 16 - 챔피언 차지,DB16 – Serangan Juara,SH16 – Kampioensaanval,RH16 – Mesterangrep,Ratusz 16 – Szarża czempionów,CV16 - Arremetida dos campeões,Ратуша 16 — чемпионский натиск,ศาลากลาง 16 - แชมเปี้ยนชาร์จ,BB 16 - Şampiyon Hücumu,NC16 - Chiến thần tấn công
TID_STARTERARMY_TH16_ELECTRO_DRAGONS,TH16 – Electro Storm 3,قاعة المدينة 16 - العاصفة الكهربائية 3,16本 - 雷电风暴3.0,16本 - 雷電風暴3.0,RH 16 – Elektrosturm 3,Ayuntamiento de nivel 16: Tormenta eléctrica 3,تالار شهر 16 – طوفان برقی 3,TH16 – Salamamyrsky 3,HDV16 – Électro-tempêtes 3,BK16 – Badai Elektro 3,Municipio 16 - Tempesta elettrica 3,タウンホール16 - ライドラストーム3,마을회관 16 - 일렉트로 스톰 3,DB16 – Ribut Elektro 3,SH16 – Elektrostorm 3,RH16 – Elektrostorm 3,Ratusz 16 – Elektroburza 3,CV16 - Tempestade de raios 3,Ратуша 16 — электроураган 3,ศาลากลาง 16 - พายุไฟฟ้า 3,BB 16 - Elektro Fırtına 3,NC16 - Cơn bão điện 3
TID_STARTERARMY_TH16_ROOT_RAIDERS_2,TH16 – Root Raiders 2,قاعة المدينة 16 - غزاة الجذور 2,16本 - 根蔓武神2.0,16本 - 棘木武神2.0,RH 16 – Wurzelwut 2,Ayuntamiento de nivel 16: Asalto salvaje 2,تالار شهر 16– یورش ریشه‌سوار 2,TH16 – Juurakkoryöstäjät 2,HDV16 – Pillage à la racine,BK16 – Amukan Rimba 2,Municipio 16 - Furia della natura 2,タウンホール16 - ルートレイダー2,마을회관 16 - 루트 레이더 2,DB16 – Penyelongkar Akar 2,SH16 – Stronkplunderaar 2,RH16 – Rotraidere 2,Ratusz 16 – Korzenni najeźdźcy 2,CV16 - Raiva enraizada 2,Ратуша 16 — лесные всадницы 2,ศาลากลาง 16 - ผู้พิทักษ์พงไพร 2,BB 16 - Kök Akıncıları 2,NC16 - Chiến binh rễ cây đột kích 2
TID_STARTERARMY_TH17_FIREBALL,TH17 – Fireball Madness,قاعة المدينة 17 - جنون الكرة النارية,17本 - 火球狂潮,17本 - 火球狂潮,RH 17 – Feuerballchaos,Ayuntamiento de nivel 17: Bola de fuego desatada,تالار شهر 17 – جنون گلوله آتش,TH17 – Tulipallokaaos,HDV17 - Boule de feu en folie,BK17 – Bola Api Gila,Municipio 17 - Furia infuocata,タウンホール17 - ファイボアサルト,마을회관 17 - 파이어볼 매드니스,DB17 – Kegilaan Bebola Api,SH17 – Vuurbalwaanzin,RH17 – Ildkulegalskap,Ratusz 17 – Ogniste szaleństwo,CV17 - Ira das bolas de fogo,Ратуша 17 — огненное безумие,ศาลากลาง 17 - ลูกไฟอลหม่าน,BB 17 - Alev Topu Çılgınlığı,NC17 - Hỗn chiến hỏa cầu
TID_STARTERARMY_TH17_MASS_MINERS,TH17 – Mass Miners 2,قاعة المدينة 17 - حشد عمال المناجم 2,17本 - 矿工海2.0,17本 - 礦工海2.0,RH 17 – Massenmineure 2,Ayuntamiento de nivel 17: Mineros en masa 2,تالار شهر 17– توده معدنچی‌ها 2,TH17 – Kaivosmiesjoukko 2,HDV17 – Mineurs en masse 2,BK17 – Laskar Penambang 2,Municipio 17 - Minatori in massa 2,タウンホール17 - ディガーラッシュ2,마을회관 17 - 대량의 광부 2,DB17 – Pelombong Berkumpul 2,SH17 – Massa mijnwerkers 2,RH17 – Massegravere 2,Ratusz 17 – Masa górników 2,CV17 - Mineração em massa 2,Ратуша 17 — толпа шахтеров 2,ศาลากลาง 17 - คนงานเหมืองหมู่มาก 2,BB 17 - Madenci Kitlesi 2,NC17 - Cơn bão Thợ mỏ 2
TID_STARTERARMY_TH17_ROOT_RIDERS,TH17 – Royal Roots,قاعة المدينة 17 - جذور ملكية,17本 - 根蔓武神,17本 - 棘木武神,RH 17 – Königswurzeln,Ayuntamiento de nivel 17: Raíces reales,تالار شهر 17 – ریشه‌های سلطنتی,TH17 – Kuninkaalliset juuret,HDV17 – Racines royales,BK17 – Bangsawan Akar,Municipio 17 - Reali e guardiane,タウンホール17 - ロイヤルルート,마을회관 17 - 로얄 뿌리,DB17 – Pelindung Diraja,SH17 – Koninklijke stronk,RH17 – Kongelige røtter,Ratusz 17 – Królewskie korzenie,CV17 - Sangue azul,Ратуша 17 — королевский лес,ศาลากลาง 17 - ผู้พิทักษ์พงไพรรอยัล,BB 17 - Kraliyet Kökleri,NC17 - Rễ cây hoàng gia
TID_STARTERARMY_TH4_BALLOONED_BARCH,TH4 – Ballooned Barcher,قاعة المدينة 4 - بالون رامي السهام البربري,4本 - 气球黄毛弓箭,4本 - 氣球野蠻弓箭,RH 4 – Ballon-Bargenschütze,Ayuntamiento de nivel 4: Bárbaro arquero en globo,تالار شهر 4–بربر کماندار بالون,TH4 – Liitävä jousibarbaari,HDV4 – Barchères ballonnées,BK4 – Balon Pemanah Barbar,Municipio 4 - Barcieri e mongolfiere,タウンホール4 - バルーンババアチャ,마을회관 4 - 해골 바처,DB4 – Pemanah Gasar dan Belon,SH4 – Ballonnen-barbschutter,RH4 – Oppblåst barbueskytter,Ratusz 4 – Balonowy łucznik,CV4 - Bárbaros nos ares,Ратуша 4 — шары и варвары-лучники,ศาลากลาง 4 - พลธนูคนเถื่อนบอลลูน,"BB 4 - Balon, Barbar ve Okçu","NC4 - Man di, Cung thủ và Khinh khí cầu"
TID_STARTERARMY_TH4_BARCHER_BLAST,TH4 – Barcher Blast,قاعة المدينة 4 - انفجار رامي السهام البربري,4本 - 黄毛弓箭速攻,4本 - 野蠻弓箭速攻,RH 4 – Bargenschützenblast,Ayuntamiento de nivel 4: Asalto de bárbaros arqueros,تالار شهر 4–انفجار بربرکماندار,TH4 – Jousibarbaaririeha,HDV4 – Boum de Barchères,BK4 – Ledakan Pemanah Barbar,Municipio 4 - Barcieri all'attacco,タウンホール4 - ババアチャブラスト,마을회관 4 - 바처 블라스트,DB4 – Letupan Pemanah Gasar,SH4 – Barbaarse boogschutter,RH4 – Barbueskytterbang,Ratusz 4 – Łucznicza eksplozja,CV4 - Explosão bárbara,Ратуша 4 — удар варваров-лучников,ศาลากลาง 4 - พลธนูคนเถื่อนระเบิดระเบ้อ,BB 4 - Barbar-Okçu Saldırısı,NC4 - Man di và Cung thủ càn quét
TID_STARTERARMY_TH5_BLAST_AND_BASH,TH5 – Blast and Bash,قاعة المدينة 5 - التفجير والدعس,5本 - 胖法流,5本 - 胖法流,RH 5 – Knaller und Kracher,Ayuntamiento de nivel 5: Golpes y explosiones,تالار شهر 5 – انفجار و کوبیدن,TH5 – Pamaus ja kolaus,HDV5 – Poings et explosions,BK5 – Ledakan dan Hantaman,Municipio 5 - Esplosioni giganti,タウンホール5 - ババアチャ強襲,마을회관 5 - 블라스트 히트,DB5 – Letup dan Remuk,SH5 – Bommen en beuken,RH5 – Spreng og knus,Ratusz 5 – Bum i bach,CV5 - Detonar e espancar,Ратуша 5 — кулаки и взрывы,ศาลากลาง 5 - ทุบระเบิดระเบ้อ,BB 5 - Patlamalar ve Darbeler,NC5 - Oanh tạc khắp nơi
TID_STARTERARMY_TH5_LOOT_SMASH,TH5 – Loot Smash,قاعة المدينة 5 - غنيمة وتدمير,5本 - 资源流,5本 - 資源流,RH 5 – Beuteangriff,Ayuntamiento de nivel 5: Saqueo destructivo,تالار شهر 5 – ویران غنیمت,TH5 – Saalisjysäys,HDV5 – Vol de butin,BK5 – Serbu dan Jarah,Municipio 5 - Saccheggio esplosivo,タウンホール5 - 戦利品スマッシュ,마을회관 5 - 전리품 스매시,DB5 – Hempasan Rampasan,SH5 – Buit-smash,RH5 – Utbytteknus,Ratusz 5 – Łup łup w łup,CV5 - Saque voraz,Ратуша 5 — дерзкое ограбление,ศาลากลาง 5 - ฟาดของปล้น,BB 5 - Patlayıcı Yağma,NC5 - Cướp sạch chiến lợi phẩm
TID_STARTERARMY_TH5_PRECISION_DROP,TH5 – Precision Drop,قاعة المدينة 5 - إسقاط دقيق,5本 - 精准轰炸,5本 - 精準轟炸,RH 5 – Präzisionsplatzierung,Ayuntamiento de nivel 5: Precisión aguda,تالار شهر 5 – رها کردن دقیق,TH5 – Tarkkaan tähdätty droppi,HDV5 – Lâcher précis,BK5 – Kiriman Maut Presisi,Municipio 5 - Precisione millimetrica,タウンホール5 - 精密ドロップ,마을회관 5 - 정밀 배치,DB5 – Jatuhan Tepat,SH5 – Precisiedrop,RH5 – Presisjonsslipp,Ratusz 5 – Zrzut doskonały,CV5 - Precisão cirúrgica,Ратуша 5 — меткое попадание,ศาลากลาง 5 - ดรอปแม่นยำ,BB 5 - Milimetrik İsabet,NC5 - Độ chính xác cao
TID_STARTERARMY_TH6_GOB_SMASH,TH6 – Goblin Smash,قاعة المدينة 6 - تدمير الغول,6本 - 哥布林海,6本 - 哥布林海,RH 6 – Koboldzerschmetterung,Ayuntamiento de nivel 6: Devastación duende,تالار شهر 6 – ویرانی با گابلین,TH6 – Hiisijysäys,HDV6 – Attaque de gobelins,BK6 – Serbuan Goblin,Municipio 6 - Razzia coi goblin,タウンホール6 - ゴブリンスマッシュ,마을회관 6 - 고블린 스매시,DB6 – Rempuhan Goblin,SH6 – Kobolden-smash,RH6 – Nissesmell,Ratusz 6 – Goblinia łupanka,CV6 - Destruição Goblin,Ратуша 6 — гоблинский налет,ศาลากลาง 6 - ก็อบลินจอมทุบ,BB 6 - Goblin Saldırısı,NC6 - Yêu tinh càn quét
TID_STARTERARMY_TH6_SKY_SURGE,TH6 – Sky Surge,قاعة المدينة 6 - اندفاع السماء,6本 - 气球流,6本 - 氣球流,RH 6 – Himmelsheer,Ayuntamiento de nivel 6: Asalto aéreo,تالار شهر 6 – یورش هوایی,TH6 – Taivassyöksy,HDV6 – Déferlement céleste,BK6 – Gempuran Udara,Municipio 6 - Assalto dai cieli,タウンホール6 - スカイサージ,마을회관 6 - 스카이 서지,DB6 – Pemusnahan Langit,SH6 – Luchtdoem,RH6 – Himmelbølge,Ratusz 6 – Podniebny przypływ,CV6 - Impacto aéreo,Ратуша 6 — воздушный рейд,ศาลากลาง 6 - ท้องฟ้าพลุ่งพล่าน,BB 6 - Gök Akını,NC6 - Cuộc tấn công từ không trung
TID_STARTERARMY_TH6_TANK_AND_TORCH,TH6 – Tank and Torch,قاعة المدينة 6 - الدبابة والمشعل,6本 - 胖法流,6本 - 胖法流,RH 6 – Absorbieren & Abfackeln,Ayuntamiento de nivel 6: Tanque y antorcha,تالار شهر 6 – تانک و مشعل,TH6 – Tankki ja soihtu,HDV6 – Tank et torche,BK6 – Tank dan Obor,Municipio 6 - Tank imbestialiti,タウンホール6 - タンクフレイム,마을회관 6 - 탱커 토치,DB6 – Menahan dan Bakar,SH6 – Tank en toorts,RH6 – Tanks og fakkel,Ratusz 6 – Ogniem i czołgiem,CV6 - Tanque e tocha,Ратуша 6 — танк и факел,ศาลากลาง 6 - แทงก์เผาไหม้,BB 6 - Tank ve Meşale,NC6 - Chiến binh đỡ đòn và đuốc
TID_STARTERARMY_TH7_FIRE_IN_THE_SKY,TH7 – Fire in the Sky,قاعة المدينة 7 - نيران في السماء,7本 - 飞龙球,7本 - 飛龍球,RH 7 – Himmelsfeuer,Ayuntamiento de nivel 7: Cielos abrasadores,تالار شهر 7 – آتش در آسمان,TH7 – Tulta taivaalla,HDV7 – Ciel enflammé,BK7 – Langit Membara,Municipio 7 - Cielo in fiamme,タウンホール7 - スカイファイア,마을회관 7 - 하늘 위의 불꽃,DB7 – Langit Membara,SH7 – Vuur in de lucht,RH7 – Ild på himmelen,Ratusz 7 – Ogień na niebie,CV7 - Fogo aéreo,Ратуша 7 — воздушная тревога,ศาลากลาง 7 - แสงไฟบนฟากฟ้า,BB 7 - Alevli Gökler,NC7 - Bầu trời rực lửa
TID_STARTERARMY_TH7_GIANT_BLAZE,TH7 – Giant Blaze,قاعة المدينة 7 - العملاق المشتعل,7本 - 胖弓流,7本 - 胖弓流,RH 7 – Riesenfeuer,Ayuntamiento de nivel 7: Megallamarada,تالار شهر 7 – شعله غول,TH7 – Suurroihu,HDV7 – Brasier géant,BK7 – Api Raksasa,Municipio 7 - Incendio gigante,タウンホール7 - ジャイアントブレイズ,마을회관 7 - 자이언트 블레이즈,DB7 – Api Gergasi,SH7 – Reuzenvlammen,RH7 – Kjempebluss,Ratusz 7 – Giga płomień,CV7 - Labareda colossal,Ратуша 7 — гигантское пламя,ศาลากลาง 7 - ยักษ์โชติช่วง,BB 7 - Dev Alevler,NC7 - Khổng nhân và lửa
TID_STARTERARMY_TH7_MAGIC_HOGS,TH7 – Magic Hogs,قاعة المدينة 7 - الخنازير السحرية,7本 - 法师猪,7本 - 法師豬,RH 7 – Schweinemagie,Ayuntamiento de nivel 7: Puercos y magia,تالار شهر 7 – خوک‌های جادویی,TH7 – Taikakarjut,HDV7 – Cochons magiques,BK7 – Babi Sihir,Municipio 7 - Cinghiali e magia,タウンホール7 - マジックホグ,마을회관 7 - 마법의 호그,DB7 – Khinzir Ajaib,SH7 – Magische varkens,RH7 – Magiske villsvin,Ratusz 7 – Magiczne wieprze,CV7 - Magia suína,Ратуша 7 — колдуны и кабаны,ศาลากลาง 7 - หมูป่าเวทมนตร์,BB 7 - Büyülü Domuzlar,NC7 - Heo và Phép thuật
TID_STARTERARMY_TH8_FLY_HIGH,TH8 – Fly High,قاعة المدينة 8 - التحليق عاليًا,8本 - 飞龙球2.0,8本 - 飛龍球2.0,RH 8 – Hoch hinaus,Ayuntamiento de nivel 8: Vuela alto,تالار شهر 8 – پرواز بلند,TH8 – Lennä korkealle,HDV8 – Vol périlleux,BK8 – Terbang Tinggi,Municipio 8 - Ad alta quota,タウンホール8 - フライハイ,마을회관 8 - 비상,DB8 – Terbang Tinggi,SH8 – Hoogvlieger,RH8 – Fly høyt,Ratusz 8 – Wysokie loty,CV8 - Voando alto,Ратуша 8 — угроза с воздуха,ศาลากลาง 8 - บินเหนือเมฆ,BB 8 - Yüksek İrtifa,NC8 - Chiến thuật trên không
TID_STARTERARMY_TH8_PEKKA_SMASH,TH8 – P.E.K.K.A Smash,قاعة المدينة 8 - التحطيم بطريقة بيكا,8本 - 皮卡猛攻,8本 - 皮卡猛攻,RH 8 – P.E.K.K.A.-Smash,Ayuntamiento de nivel 8: P.E.K.K.A. devastadora,تالار شهر 8 – کوبش P.E.K.K.A,TH8 – Murskaava P.E.K.K.A.,HDV8 – P.E.K.K.A.K.A.R.A.T.É,BK8 – P.E.K.K.A Menghajar,Municipio 8 - P.E.K.K.A spaccatutto,タウンホール8 - P.E.K.K.Aスマッシュ,마을회관 8 - P.E.K.K.A 스매시,DB8 – Hentaman P.E.K.K.A,SH8 – P.E.K.K.A.-smash,RH8 – P.E.K.K.A-smash,Ratusz 8 – Miażdżąca P.E.K.K.A,CV8 - P.E.K.K.A devastadora,Ратуша 8 — П.Е.К.К.А.-крушение,ศาลากลาง 8 - P.E.K.K.A จอมทุบ,BB 8 - P.E.K.K.A Saldırısı,NC8 - P.E.K.K.A càn quét
TID_STARTERARMY_TH8_WHIRLWIND_ENTRY,TH8 – Whirlwinds,قاعة المدينة 8 - العواصف الدوّارة,8本 - 石法女武神,8本 - 石法女武神,RH 8 – Wirbelwinde,Ayuntamiento de nivel 8: Torbellinos,تالار شهر 8 – گردبادها,TH8 – Pyörremyrskyt,HDV8 – Tourbillons,BK8 – Pusaran Maut,Municipio 8 - Vortice di distruzione,タウンホール8 - サイクロン,마을회관 8 - 회오리 바람,DB8 – Puting Beliung,SH8 – Wervelwinden,RH8 – Virvelvinder,Ratusz 8 – Trąby powietrzne,CV8 - Turbilhões,Ратуша 8 — вихри,ศาลากลาง 8 - ลมพายุหมุน,BB 8 - Kasırga,NC8 - Lốc xoáy
TID_STARTERARMY_TH9_FIRE_IN_THE_SKY_2,TH9 – Fire in the Sky 2,قاعة المدينة 9 - نيران في السماء 2,9本 - 飞龙球2.0,9本 - 飛龍球2.0,RH 9 – Himmelsfeuer 2,Ayuntamiento de nivel 9: Cielos abrasadores 2,تالار شهر 9 – آتش در آسمان 2,TH9 – Tulta taivaalla 2,HDV9 – Ciel enflammé 2,BK9 – Langit Membara 2,Municipio 9 - Cielo in fiamme 2,タウンホール9 - スカイファイア2,마을회관 9 - 하늘 위의 불꽃 2,DB9 – Langit Membara 2,SH9 – Vuur in de lucht 2,RH9 – Ild på himmelen 2,Ratusz 9 – Ogień na niebie 2,CV9 - Fogo aéreo 2,Ратуша 7 — воздушная тревога 2,ศาลากลาง 9 - แสงไฟบนฟากฟ้า 2,BB 9 - Alevli Gökler 2,NC9 - Bầu trời rực lửa 2
