TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_POPUP_CANCEL_UPGRADE_TITLE,Stop upgrade?,Arrêter l'amélioration ?,Upgrade anhalten?,¿Detener la mejora?,Vuoi fermare l'aggiornamento?,Upgrade stoppen?,Stopp oppgradering?,Parar atualização?,Yükseltmeyi durdur?
TID_POPUP_CHANGE_LANGUAGE,Are you sure you want to change the language settings?,Voulez-vous vraiment modifier les paramètres de langue ?,Willst du die Spracheinstellungen wirklich ändern?,¿Estas seguro de que quieres cambiar el idioma?,Vuoi davvero modificare le impostazioni lingua?,Weet je zeker dat je de taalinstellingen wilt veranderen?,Er du sikker på at du vil endre språkinnstillingene?,Tem certeza de que deseja alterar as configurações de idioma?,Dil ayarlarını değiştirmek istediğinize emin misiniz?
TID_POPUP_CHANGE_LANGUAGE_TITLE,Language settings,Paramètres de langue,Spracheinstellungen,Configuración de idioma,Impostazioni lingua,Taalinstellingen,Språkinnstillinger,Configurações de idioma,Dil ayarları
TID_POPUP_FORGE_TITLE,Create Spells <limit>,Créer sorts <limit>,Erzeuge Zaubersprüche <limit>,Crear hechizos <limit>,Crea incantesimi <limit>,Creëer spreuken <limit>,Lag formler <limit>,Criar feitiços <limit>,Büyü Üret <limit>
TID_POPUP_FRIEND_LIST_TITLE,Friends,Amis,Freunde,Amigos,Amici,Vrienden,Venner,Amigos,Arkadaşlar
TID_POPUP_HEADER_ABOUT_TO_BOOST,Boost production!,,,,,,,,
TID_POPUP_HEADER_ABOUT_TO_CANCEL_SPELL,Are you sure?,Êtes-vous sûr ?,Bist du sicher?,¿Estás seguro?,Sei sicuro?,Weet je het zeker?,Er du sikker?,Tem certeza?,Emin misiniz?
TID_POPUP_HEADER_ABOUT_TO_SPEED_UP,Finish now!,Terminer maintenant !,Jetzt beenden!,¡Terminar ya!,Completa subito!,Nu voltooien!,Bli ferdig nå!,Concluir agora!,Şimdi bitir!
TID_POPUP_HEADER_WARNING,Warning!,Attention !,Achtung!,¡Cuidado!,Attenzione!,Waarschuwing!,Advarsel!,Atenção!,Uyarı!
TID_POPUP_NOT_ENOUGH_DIAMONDS,Do you want to get more?,Voulez-vous en obtenir plus ?,Möchtest du mehr haben?,¿Quieres conseguir más?,Ne vuoi ancora?,Wil je meer halen?,Vil du skaffe fler?,Você quer receber mais?,Daha fazla almak istiyor musun?
TID_POPUP_NOT_ENOUGH_DIAMONDS_BUTTON,Enter Shop,Visiter le magasin,Shop betreten,Ir a la tienda,Accedi al negozio,Naar winkel,Gå til butikk,Entrar na Loja,Dükkana Gir
TID_POPUP_NOT_ENOUGH_DIAMONDS_TITLE,Not enough Gems,Pas assez de gemmes,Nicht genug Juwelen,"No tienes suficientes gemas,",Non hai abbastanza gemme,Te weinig edelstenen,Ikke nok smykker,Sem Pedras suficientes,Yeterli Taş yok
TID_POPUP_SHIELD_REMOVAL,"Attacking will disable your shield, and other players will be able to attack you. Are you sure?","Attaquer annulera votre bouclier, vous rendant vulnérable aux attaques ennemies. Voulez-vous vraiment attaquer?","Wenn du angreifst, wird dein Schild deaktiviert und andere Spieler können dich angreifen. Bist du sicher?","Al atacar, desactivarás el escudo y otros jugadores podrán atacarte. ¿Estás seguro?",Attaccando disattiverai il tuo scudo e gli altri giocatori potranno attaccarti. Confermi?,Als je aanvalt wordt het schild uitgeschakeld en kunnen andere spelers je aanvallen. Weet je het zeker?,"Ved å angripe deaktiveres skjoldet ditt, og andre spillere kan angripe deg. Er du sikker?","Atacar irá desativar o seu escudo, e outros jogadores poderão atacá-lo. Tem certeza?",Saldırınca kalkanın devreden çıkar ve diğer oyuncular sana saldırabilir. Emin misin?
TID_POPUP_SHIELD_REMOVAL_TITLE,Shield is active,Le bouclier est actif,Schild ist aktiv,Escudo activo,Lo scudo è attivo,Schild is geactiveerd,Skjoldet er aktivt,Escudo ativo,Kalkan etkin
TID_POPUP_SPEED_UP_CONSTRUCTION,Do you want to finish the construction of <item> for <number> Gems?,Voulez-vous terminer la construction de <item> en échange de <number> gemmes ?,Möchtest du den <item>-Bau für <number> Juwelen beenden?,¿Quieres acabar de fabricar <item> por <number> gemas?,Vuoi completare la costruzione di <item> per <number> gemme?,Wil je de bouw van <item> voor <number> edelstenen voltooien?,Ønsker du å ferdigstille konstruksjonen av <item> for <number> Edle metaller?,Você deseja concluir a construção de <item> por <number> pedras?,<number> Taş karşılığında <item> inşasını bitirmek ister misiniz?
TID_POPUP_SPEED_UP_UPGRADE,Do you want to finish the upgrade of <item> for <number> Gems?,Voulez-vous terminer l´amélioration de <item> en échange de <number> gemmes ?,Möchtest du die <item>-Verbesserung für <number> Juwelen beenden?,¿Quieres acabar la mejora de <item> por <number> gemas?,Vuoi completare il miglioramento di <item> per <number> gemme?,Wil je de upgrade van <item> voor <number> edelstenen voltooien?,Ønsker du å ferdigstille oppgraderingen av <item> for <number> Edle metaller?,Você deseja concluir a atualização de <item> por <number> pedras?,<number> Taş karşılığında <item> yükseltmesini bitirmek ister misiniz?
TID_POPUP_TEXT_ABOUT_TO_SELL,Do you really want to sell <item> for <number> <resource>?,Voulez-vous vraiment vendre <item> pour <number> <resource>?,"Möchtest du ,,<item>\q wirklich für <number> <resource> verkaufen?",¿Seguro que quieres vender <item> por <number> <resource>?,Vuoi davvero vendere <item> per <number> <resource>?,Wil je <item> echt voor <number> <resource> verkopen?,Vil du virkelig selge <item> for <number> <resource>?,Você realmente quer vender <item> por <number> <resource>?,<item> <number> <resource> karşılığı satılsın mı?
TID_POPUP_TRAIN_TITLE,Train <limit>,Former <limit>,<limit> trainieren,Entrenar <limit>,Addestra <limit>,Train <limit>,Tren <limit>,Treino <limit>,<limit> Eğit
TID_POPUP_TRY_AGAIN,Estimated time left:,Temps restant estimé :,Geschätzte verbleibende Zeit:,Tiempo restante estimado:,Tempo restante stimato:,Resterende tijd:,Anslått tid igjen:,Tempo estimado:,Kalan tahmini süre:
TID_POPUP_UNDER_ATTACK,"You are under attack! Please wait, your village will load automatically.",On vous attaque ! Veuillez patienter pendant le chargement automatique de votre village.,"Du wirst angegriffen! Bitte warte, dein Dorf lädt sich automatisch.","¡Te están atacando! Espera, tu aldea se cargará automáticamente.","Sei sotto attacco! Attendi, il tuo villaggio si caricherà automaticamente.","Je wordt aangevallen! Momentje geduld, je dorp wordt automatisch geladen.","Du er under angrep! Vent litt, landsbyen lastes automatisk.","Você está sob ataque! Por favor aguarde, sua aldeia será carregada automaticamente.","Saldırıya uğradın! Lütfen bekle, köyün otomatik olarak yüklenecek."
TID_POPUP_UPGRADE_ALREADY_IN_PROGRESS,Upgrade in progress,Amélioration en cours,Verbesserung läuft,Mejora en progreso,Miglioramento in corso,Bezig met upgrade,Oppgradering på gang,Atualização em andamento,Yükseltme sürüyor
TID_POPUP_UPGRADE_BUILD_MORE,Build more:,Construire davantage :,Mehr bauen:,Construye más:,Costruisci più:,Meer bouwen:,Bygg mer:,Construir mais:,Daha inşa et:
TID_POPUP_UPGRADE_TITLE,Upgrade to level <number>?,Améliorer au niveau <number> ?,Auf Level <number> verbessern?,¿Mejorar al nivel <number>?,Portare al livello <number>?,Upgraden naar level <number>?,Oppgradere til nivå <number>?,Atualizar para nível <number>?,<number>. seviyeye yükseltilsin mi?
TID_POPUP_UPGRADE_TROOP_TITLE,Choose what to upgrade,Choisissez l´élément à améliorer,"Wähle, was du verbessern möchtest",Elige qué mejorar,Scegli che cosa potenziare,Kies wat je wilt upgraden,Velg hva som skal oppgraderes,Escolha o que atualizar,Yükseltilecek şeyi seçin
TID_PREFERRED_TARGET_ANY,Any,Toutes,Egal,Cualquiera,Qualsiasi,Willekeurig,Alle,Qualquer,Biri
TID_PREFERRED_TARGET_DAMAGE_BONUS,(Damage x<number>),(Dégâts x<number>),(Schaden x<number>),(Daño x <number>),(Danno x<number>),(schade x<number>),(Skade x<number>),(Danos <number> x),(Hasar x<number>)
TID_PRODUCTION_CAPACITY,Capacity: <number>,Capacité : <number>,Kapazität: <number>,Capacidad: <number>,Capienza: <number>,Capaciteit: <number>,Kapasitet: <number>,Capacidade: <number>,Kapasite: <number>
TID_PRODUCTION_RATE,Production Rate: <number> per hour,Production moyenne : <number> par heure,Produktionsrate: <number> pro Stunde,Ritmo de producción: <number> por hora,Ritmo produttivo: <number> all´ora,Productiesnelheid: <number> per uur,Produksjonshastighet: <number> per time,Taxa de Produção: <number> por hora,Üretim Hızı: <number> / saat
TID_PROMOTE_TO_ADMIN_CONFIRMATION,Promote <name> to Clan Elder?,Promouvoir <name> au rang d'aîné du clan ?,<name> zum Clanältesten befördern?,¿Ascender a <name> a anciano del clan?,Vuoi promuovere <name> ad Anziano del clan?,<name> tot clanoudste promoveren?,Forfremme <name> til klansenior?,Promover <name> a Ancião do Clã?,<name> Klan Büyüğü olarak terfi etsin mi?
TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE,Promote?,Promouvoir ?,Befördern?,¿Ascender?,Promuovere?,Promoveren?,Forfremme?,Promover?,Terfi ettir?
TID_PROMOTE_TO_LEADER_CONFIRMATION,Make <name> the new Clan Leader?,Faire de <name> le nouveau chef du clan ?,<name> zum neuen Clanführer machen?,¿Nombrar a <name> nuevo líder del clan?,Vuoi nominare <name> Capoclan?,<name> tot nieuwe clanleider benoemen?,Gjøre <name> til ny klanleder?,Tornar <name> o novo líder do clã?,<name> yeni Klan Lideri olsun mu?
TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE,Step Down?,Se désister ?,Zurücktreten?,¿Dimitir?,Vuoi fare un passo indietro?,Aftreden?,Gå av?,Demitir-se?,Çekilecek misin?
TID_PUSH_ATTACKED,Your village was raided by <attacker>!,Votre village a été attaqué par <attacker> !,Dein Dorf wurde von <attacker> angegriffen!,¡Tu aldea ha sido arrasada por <attacker>!,Il tuo villaggio è stato assaltato da <attacker>!,Je dorp is aangevallen door <attacker>!,Landsbyen ble raidet av <attacker>!,Sua aldeia foi invadida por <attacker>!,Köyüne <attacker> tarafından baskın yapıldı!
TID_PVP_BUTTON,Find a Match,Chercher une partie,Mitspieler finden,Buscar partida,Trova una partita,Zoek een wedstrijd,Finn en match,Procurar um jogo,Eşleşme Bul
TID_RANKTITLE,Rank,Rang,Rang,Rango,Posizione,Score,Grad,Posição,Derece
TID_RATE_APP_MESSAGE,Please rate or review Clash of Clans on App Store to give us valuable feedback!,Notez ou commentez Clash of Clans sur l'App Store pour nous faire part de vos impressions !,Bitte bewerte Clash of Clans im App Store. Dein Feedback ist sehr wertvoll für uns!,¡Puntúa o haz un análisis de Clash of Clans en la App Store para que conozcamos tu opinión!,Dai una valutazione a Clash of Clans o scrivi una recensione nell´App Store per darci la tua opinione.,Waardeer of review Clash of Clans in App Store om ons te vertellen wat je ervan vindt!,Bedøm eller anmeld Clash of Clans på App Store for å gi oss verdifull tilbakemelding!,Por favor comente ou qualifique o Clash of Clans na App Store para nos dar um feedback valioso!,Değerli görüşlerinizi bize iletmek için Uygulama Mağazası'nda Clash of Clans'e puan verin ve inceleme yazın!
TID_RATE_APP_TITLE,Rate Clash of Clans,Notez Clash of Clans,Clash of Clans bewerten,Puntuar Clash of Clans,Dai una valutazione a Clash of Clans,Waardeer Clash of Clans,Bedøm Clash of Clans,Qualifique Clash of Clans,Clash of Clans'e Puan Ver
TID_REPAIR_CLAN_CASTLE,Be part of a Clan,Faites partie d'un clan,Werde Teil eines Clans,Forma parte de un clan,Entra in un clan,Ga bij een clan,Vær med i en klan,Seja parte de um clã,Bir Klana üye ol
TID_REPAIR_CLAN_CASTLE_2,Rebuild your Clan Castle to find allies and join the struggle for power!,Réparez le château du clan pour trouver des alliés et rejoignez la course au pouvoir !,"Baue deine Clanburg wieder auf, um Verbündete zu finden und schließ dich dem Kampf um Macht an!",¡Reconstruye tu castillo del clan para encontrar aliados y luchar por el poder!,Ricostruisci il castello del tuo clan per trovare alleati e partecipare alla lotta per il potere!,Herbouw je clankasteel om bondgenoten te vinden en de macht te grijpen!,Bygg klanslottet på nytt for å finne allierte og delta i maktkampen!,Reconstrua o seu castelo do clã para encontrar aliados e junte-se à luta pelo poder!,Müttefik bulmak ve iktidar mücadelesine katılmak için Klan Kaleni tekrar kur!
TID_REPAIR_CLAN_CASTLE_TITLE,Rebuild Clan Castle,Réparer le château du clan,Clanburg wieder aufbauen,Reconstruye el castillo del clan,Ricostruisci castello del clan,Clankasteel herbouwen,Bygg klanslott på nytt,Reconstruir Castelo do Clã,Klan Kalesini Tekrar Kur
TID_REPLAY_BUTTON_FAIL,Replay is no longer available!,Le ralenti n´est plus disponible !,Wiederholung ist nicht mehr verfügbar!,¡La repetición ya no está disponible!,Il replay non è più disponibile!,Herhaling is niet meer mogelijk!,Reprise er ikke lenger tilgjengelig!,A repetição não está mais disponível!,Tekrar artık mevcut değil!
TID_REPLAY_NOT_AVAILABLE,Replay not available,Ralenti non disponible,Wiederholung nicht verfügbar,Repetición no disponible,Replay non disponibile,Herhaling is niet beschikbaar,Reprise er ikke tilgjengelig,Repetição não disponível,Tekrar mevcut değil
TID_REPLAY_PLAY_AGAIN,Play Again,Rejouer,Erneut spielen,Volver a reproducir,Gioca ancora,Opnieuw afspelen,Spill igjen,Jogar novamente,Tekrar Oynat
TID_REPLAY_REPLAY,Replay,Ralenti,Wiederholen,Repetir,Replay,Herhaling,Reprise,Repetir,Tekrar
TID_REPLAY_SPEED,Replay Speed:,Vitesse du ralenti :,Wiederholungsgeschwindigkeit:,Velocidad de repetición:,Velocità replay:,Snelheid van herhaling:,Hastighet på reprise,Velocidade da repetição:,Tekrar Hızı:
TID_REPLAY_TIME,Replay ends in:,Le ralenti se termine dans :,Wiederholung endet in:,La repetición termina en:,Il replay termina tra:,Herhaling eindigt over:,Reprise avslutter innen:,A repetição termina em:,Tekrar'ın bitişi:
TID_REPORT_PLAYER_BUTTON,Report,Signaler,Melden,Denunciar,Segnala,Rapporteren,Rapporter,Reportar,Bildir
TID_REQUESTTROOPS,Request Warriors,Demander des soldats,Krieger anfordern,Pedir guerreros,Richiedi guerrieri,Verzoek krijgers,Be om krigere,Solicitar Guerreiros,Savaşçı İste
TID_REQUIRED_BARRACK_LEVEL,Level <number> Barracks Required,Caserne de niveau <number> nécessaires,Kaserne auf Level <number> benötigt,Necesario nivel <number> de cuartel,Necessaria caserma di livello <number>,Kazerne van level <number> vereist,Brakker på nivå <number> kreves,Quartel de Nível <number> Obrigatório,<number>. Seviye Kışla Gerekiyor
TID_REQUIRED_CASTLE_LEVEL,Level <number> Castle Required,Château de niveau <number> nécessaire,Burg auf Level <number> benötigt,Necesario nivel <number> de castillo,Necessario castello di livello <number>,Kasteel van level <number> vereist,Slott på nivå <number> kreves,Castelo de Nível <number> Obrigatório,<number>. Seviye Kale Gerekiyor
TID_REQUIRED_EXP_LEVEL,Experience Level <number> Required,Expérience de niveau <number> nécessaire,Erfahrungslevel <number> benötigt,Necesario nivel de experiencia <number>,Necessaria esperienza di livello <number>,XP-level <number> vereist,Erfaring på nivå <number> kreves,Nível de experiência <number> necessário,Tecrübe Seviyesi <number> Gerekiyor
TID_REQUIRED_LABORATORY_LEVEL,Level <number> Laboratory Required,Laboratoire de niveau <number> nécessaire,Labor auf Level <number> benötigt,Necesario nivel <number> de laboratorio,Necessario laboratorio di livello <number>,Laboratorium van level <number> vereist,Laboratorium på nivå <number> kreves,Laboratório nível <number> Obrigatório,<number>. Seviye Laboratuvar Gerekiyor
TID_REQUIRED_SPELL_FORGE_LEVEL,Level <number> Spell Factory required,Usine de sorts de niveau <number> nécessaire,Level <number> der Zauberspruchfabrik erforderlich,Se necesita nivel <number> de la fábrica de hechizos,Richiesta Fabbrica degli incantesimi di livello <number>,Spreukenfabriek met niveau <number> nodig,Krever nivå <number> for magifabrikken,Fábrica de Feitiços nível <number> obrigatória,<number>. seviye Büyü Fabrikası gerekiyor
TID_REQUIRED_TOWN_HALL_LEVEL,Level <number> Town Hall Required,Hôtel de ville de niveau <number> nécessaire,Rathaus auf Level <number> benötigt,Necesario nivel <number> de ayuntamiento,Necessario municipio di livello <number>,Stadhuis van level <number> vereist,Rådhus på nivå <number> kreves,Nível <number> Centro da Cidade Obrigatório,<number>. Seviye Köy Binası Gerekiyor
TID_RESOURCE_BUY_CONFIRMATION,Resources received!,Vous avez bien reçu les ressources !,Ressourcen erhalten!,¡Recursos recibidos!,Risorse ricevute!,Grondstoffen ontvangen!,Ressurser er mottatt!,Recursos recebidos!,Kaynaklar alındı!
TID_RESOURCE_CAP_FULL_ELIXIR,Build more or upgrade existing Elixir Storages!,Construisez plus de réservoirs d'élixir ou améliorez ceux que vous possédez déjà !,Mehr bauen oder vorhandene Elixierlager verbessern!,¡Construye más o mejora los almacenes de elixir que ya tienes!,Costruisci altri Depositi di elisir o migliora quelli esistenti!,Bouw meer of upgrade bestaande elixirdepots!,Bygg flere eller oppgrader eksisterende eliksirlagre!,Construir mais ou atualizar Armazenagens de Elixir existentes!,Daha inşa et veya mevcut İksir Depolarını yükselt!
TID_RESOURCE_CAP_FULL_GOLD,Build more or upgrade existing Gold Storages!,Construisez plus de réserves d'or ou améliorez celles que vous possédez déjà !,Mehr bauen oder vorhandene Goldlager verbessern!,¡Construye más o mejora los almacenes de oro que ya tienes!,Costruisci altri Depositi d´oro o migliora quelli esistenti!,Bouw meer of upgrade bestaande gouddepots!,Bygg flere eller oppgrader eksisterende gullagre!,Construir mais ou atualizar Armazenagens de Ouro existentes!,Daha inşa et veya mevcut Altın Depolarını yükselt!
TID_RESOURCE_PACK_ELIXIR_10,Fill Storages by 10%,Remplit les réservoirs de 10%,Lager um 10 % füllen,Llena almacenes un 10 %.,Riempie i depositi del 10%,Vul depot met10%,Fyll lagrene 10 %,Preencha Armazenagens em 10%,Depoları %10 Doldur
TID_RESOURCE_PACK_ELIXIR_50,Fill Storages by Half,Remplit les réservoirs de moitié,Lager um die Hälfte füllen,Llena almacenes a la mitad.,Riempie i depositi per metà,Vul depot met 50%,Fyll lagrene halvveis,Preencha Armazenagens pela metade,Depoları Yarım Doldur
TID_RESOURCE_PACK_ELIXIR_FULL,Fill Elixir Storages,Remplit les réservoirs d'élixir,Elixierlager füllen,Llena almacenes de elixir.,Riempie i depositi di elisir,Vul elixirdepots,Fyll eliksirlagrene,Preencha Armazenagens de Elixir,İksir Deposunu Doldur
TID_RESOURCE_PACK_GOLD_10,Fill Storages by 10%,Remplit les réserves de 10%,Lager um 10 % füllen,Llena almacenes un 10 %.,Riempie i depositi del 10%,Vul depot met10%,Fyll lagrene 10 %,Preencha Armazenagens em 10%,Depoları %10 Doldur
TID_RESOURCE_PACK_GOLD_50,Fill Storages by Half,Remplit les réserves de moitié,Lager um die Hälfte füllen,Llena almacenes a la mitad.,Riempie i depositi per metà,Vul depot met 50%,Fyll lagrene halvveis,Preencha Armazenagens pela metade,Depoları Yarım Doldur
TID_RESOURCE_PACK_GOLD_FULL,Fill Gold Storages,Remplit les réserves d'or,Goldlager füllen,Llena almacenes de oro.,Riempie i depositi d´oro,Vul gouddepots,Fyll gullagrene,Preencha Armazenagens de Ouro,Altın Deposunu Doldur
TID_RESOURCE_PACK_LOCKED,Not enough storage space!,Pas assez d'espace de stockage !,Nicht genug Lagerplatz!,¡No hay suficiente espacio!,Non c'è abbastanza spazio!,Te weinig opslagruimte!,Ikke nok lagerplass!,Não há espaço de armazenamento suficiente!,Yeterli depo yeri yok!
TID_RESOURCE_STORAGE_CAPACITY,Storage Capacity: <number>,Capacité de stockage : <number>,Lagerkapazität: <number>,Capacidad de almacenaje: <number>,Capienza: <number>,Opslagcapaciteit: <number>,Lagringskapasitet: <number>,Capacidade de Armazenamento: <number>,Depolama Kapasitesi: <number>
TID_RESTART_REPLAY_BUTTON,Restart,Recommencer,Erneut starten,Reiniciar,Riavvia,Opnieuw beginnen,Omstart,Reiniciar,Yeniden Başlat
TID_REVENGE,Revenge,Venge-toi!,Rache,Venganza,Vendetta,Wraak,Hevn,Vingança,İntikam
TID_REVENGE_NOT_AVAILABLE,Revenge not available,Vengeance non disponible,Rache nicht verfügbar,Venganza no disponible,Vendetta non disponibile,Wraak is niet beschikbaar,Hevn er ikke tilgjengelig,Vingança não disponível,İntikam mevcut değil
TID_SAVE_ALLIANCE_SETTINGS,Save,Sauvegarder,Retten,Guardar,Salva,Opslaan,Lagre,Salvar,Kaydet
TID_SCORE,Score,Score,Punkte,Puntuación,Punteggio,Score,Poeng,Placar,Skor
TID_SEARCH_STATUS,Searching for opponents...,,,,,,,,
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED,Connected,Connecté,Verbunden,Conectado,Connesso,Verbonden,Tilkoblet,Conectado,Bağlandı
TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED,Disconnected,Déconnecté,Getrennt,Desconectado,Disconnesso,Losgekoppeld,Frakoblet,Desconectado,Bağlantı kesildi
TID_SETTINGS_CHANGENAMENOTE,NOTE! You can only change your name once!,ATTENTION ! Vous ne pouvez changer votre nom qu'une seule fois !,ACHTUNG! Du kannst deinen Namen nur einmal ändern!,AVISO: solo puedes cambiar una vez de nombre.,ATTENZIONE! Puoi cambiare il tuo nome una volta sola!,LET OP! Je kunt je naam maar één keer veranderen!,OBS! Du kan endre navnet ditt bare én gang!,ATENÇÃO! Você só pode mudar o seu nome uma vez!,NOT! Adını sadece bir kez değiştirebilirsin!
TID_SETTINGS_FACEBOOK,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook
TID_SETTINGS_LANGUAGE,Language,Langue,Sprache,Idioma,Lingua,Taal,Språk,Idioma,Dil
TID_SETTINGS_MUSIC,Music,Musique,Musik,Música,Musiche,Muziek,Musikk,Música,Müzik
TID_SETTINGS_NAME,Name,Nom,Name,Nombre,Nome,Naam,Navn,Nome,Ad
TID_SETTINGS_OFF,Off,Arrêt,Aus,No,Disattiva,Uit,Av,Desligado,Kapalı
TID_SETTINGS_ON,On,Marche,Ein,Sí,Attiva,Aan,På,Ligado,Açık
TID_SETTINGS_SCREEN_TITLE,Settings,Paramètres,Einstellungen,Configuración,Impostazioni,Instellingen,Innstillinger,Configurações,Ayarlar
TID_SETTINGS_SFX,Sound Effects,Effets,Soundeffekte,Efectos de sonido,Effetti sonori,Geluidseffecten,Lydeffekter,Efeitos sonoros,Ses Efektleri
TID_SHIELD_ACTIVATED,Opponent's shield activated for <hours> hours,Bouclier ennemi activé pendant <hours> heures,Schild des Gegners für <hours> Stunden aktiviert,El escudo de tu oponente ha sido activado durante <hours> horas,Scudo dell'avversario attivato per <hours> ore,Vijandelijk schild geactiveerd voor <hours> uur,Motstanderens skjold aktivert i <hours> timer,O escudo do oponente é ativado por <hours> horas,Rakibin kalkanı <hours> saatliğine aktifleştirildi
TID_SHIELD_BUY_CONFIRMATION,Shield activated!,Bouclier activé !,Schild aktiviert,¡Escudo activado!,Scudo attivato!,Schild gedeactiveerd!,Skjold aktivert!,Escudo ativado!,Kalkan çalıştı!
TID_SHIELD_INFO,"This shield will prevent all attacks on your village for a limited time. If you buy more than one shield, their durations are added up. Attacking other players will remove your shield.","Ce bouclier empêchera toute attaque sur votre village pendant une période de temps limitée. Si vous achetez plusieurs boucliers, les durées se cumulent. Attaquer d´autres joueurs aura pour effet de dissiper votre bouclier.","Dieser Schild wird für beschränkte Zeit alle Angriffe auf dein Dorf verhindern. Wenn du mehr als einen Schild kaufst, wird die Zeit der Schilde addiert. Durch Angriffe auf andere Spieler wird dein Schild entfernt.","Este escudo evitará cualquier ataque sobre tu aldea durante un tiempo limitado. Si compras más de un escudo, se sumará la duración de cada uno. Si atacas a otros jugadores, tu escudo se eliminará.","Questo scudo previene tutti gli attacchi al tuo villaggio per un tempo limitato. Se acquisti più scudi, la loro durata sarà accumulata. Se attacchi gli altri giocatori, il tuo scudo si esaurisce.","Dit schild beschermt je dorp voor een bepaalde tijd tegen alle aanvallen. Als je meerdere schilden koopt, wordt hun duur bij elkaar opgeteld. Zodra je andere spelers aanvalt, wordt het schild verwijderd.","Dette skjoldet hindrer alle angrep på landsbyen din i en begrenset tid. Hvis du kjøper mer enn ett skjold, legges varigheten deres sammen. Skjoldet forsvinner når du angriper andre spillere.","Este escudo impedirá todos os ataques à sua aldeia por um tempo limitado. Se você comprar mais de um escudo, suas durações são somadas. Se você atacar outros jogadores seu escudo será removido.","Bu kalkan, sınırlı bir süre için köyüne yapılan tüm saldırıları önleyecektir. Eğer birden fazla kalkan satın alırsan süreleri üst üste eklenir. Diğer oyunculara saldırmak, kalkanının süresini bitirecektir."
TID_SHIELD_NONE,None,Aucun,Nichts,Ninguno,Zero,Geen,Ingen,Nenhum,Yok
TID_SHIELD_ON_COOLDOWN,Shield not yet available!,Bouclier pas encore disponible !,Schild ist noch nicht verfügbar!,¡Escudo no disponible todavía!,Scudo non disponibile!,Schild nog niet beschikbaar!,Skjoldet er enda ikke tilgjengelig!,Escudo ainda não disponível!,Kalkan henüz kullanılamaz!
TID_SHIELD_TITLE,Shield:,Bouclier :,Schild:,Escudo:,Scudo:,Schild:,Skjold:,Escudo:,Kalkan:
TID_SHOP_AVAILABLE,Available:,Disponible :,Verfügbar:,Disponible:,Disponibile:,Vrij:,Tilgjengelig:,Disponível:,Mevcut:
TID_SHOP_CATEGORY_ARMY_BUILDINGS,Army,Armée,Armee,Ejército,Esercito,Legers,Armé,Exército,Ordu
TID_SHOP_CATEGORY_BUILDERS,Builders,Ouvriers,Bauarbeiter,Constructores,Muratori,Bouwers,Byggere,Construtores,İnşaatçılar
TID_SHOP_CATEGORY_DECOS,Decorations,Décorations,Dekorationen,Adornos,Decorazioni,Decoraties,Dekorasjoner,Decorações,Dekorasyonlar
TID_SHOP_CATEGORY_DEFENSE_BUILDINGS,Defenses,Défenses,Verteidigungen,Defensas,Difese,Verdedigingswerken,Forsvarsverker,Defesas,Savunma
TID_SHOP_CATEGORY_RESOURCE_BUILDINGS,Resources,Ressources,Ressourcen,Recursos,Risorse,Bronnen,Ressurser,Recursos,Kaynaklar
TID_SHOP_CATEGORY_SHIELD,Shield,Bouclier,Schild,Escudo,Scudo,Schild,Skjold,Escudo,Kalkan
TID_SHOP_CATEGORY_TREASURE,Treasure,Trésor,Schatz,Tesoro,Tesoro,Schatten,Skatt,Tesouro,Hazine
TID_SHOP_SHIELD_1D,One Day Shield,Bouclier d'un jour,1-Tag-Schild,Escudo de un día,Scudo per un giorno,1-dag schild,Skjold én dag,Escudo de Um Dia,Bir Günlük Kalkan
TID_SHOP_SHIELD_2D,Two Day Shield,Bouclier de deux jours,2-Tage-Schild,Escudo de dos días,Scudo per due giorni,2-dagen schild,Skjold to dager,Escudo de Dois Dias,İki Günlük Kalkan
TID_SHOP_SHIELD_7D,One Week Shield,Bouclier d'une semaine,1-Woche-Schild,Escudo de una semana,Scudo per una settimana,1 week-schild,Skjold én uke,Escudo de Uma Semana,Bir Haftalık Kalkan
TID_SHOP_TITLE,Shop,Magasin,Shop,Tienda,Negozio,Winkel,Butikk,Comprar,Dükkan
TID_SHUTDOWN_ATTACK_DISABLED,Attacking is disabled until the maintenance break is over.,La fonction d'attaque restera désactivée jusqu'à la fin de la maintenance.,"Angriffe sind deaktiviert, bis die Wartungspause vorüber ist.",No se podrá atacar hasta que termine la parada por mantenimiento.,Non sarà possibile attaccare fino al termine della manutenzione.,Gedurende het onderhoud is aanvallen niet mogelijk.,Angrep er deaktivert til vedlikeholdspausen er over.,Ataque fica desativado até que o intervalo de manutenção termine.,Bakım bitinceye kadar saldırı yapılamaz.
