Name,TroopLevel,Deprecated,TID,InfoTID,HousingSpace,BarrackLevel,LaboratoryLevel,Speed,Hitpoints,TrainingTime,TrainingResource,TrainingCost,UpgradeTimeH,UpgradeTimeM,UpgradeResource,UpgradeCost,DonateCost,DonateXP,DonateCount,AttackRange,AttackSpeed,CoolDownOverride,DPS,PreferedTargetDamageMod,DamageRadius,AreaDamageIgnoresWalls,SelfAsAoeCenter,IconSWF,IconExportName,BigPicture,BigPictureSWF,Projectile,AltProjectile,PreferedTargetBuilding,PreferedTargetBuildingClass,PreferredTargetNoTargeting,DeployEffect,AttackEffect,AttackEffect2,HitEffect,HitEffect2,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect,DieEffect2,Animation,ProductionBuilding,IsJumper,MovementOffsetAmount,MovementOffsetSpeed,TombStone,DieDamage,DieDamageRadius,DieDamageEffect,DieDamageDelay,DisableProduction,SecondaryTroop,IsSecondaryTroop,SecondaryTroopCnt,SecondarySpawnDist,RandomizeSecSpawnDist,PickNewTargetAfterPushback,PushbackSpeed,SummonTroop,SummonTroopCount,SummonCooldown,SummonEffect,SummonLimit,SpawnIdle,SpawnOnAttack,StrengthWeight,AuraSpell,AuraSpellLevel,SpeedDecreasePerChildTroopLost,ChildTroop0_X,ChildTroop0_Y,ChildTroop1_X,WallMovementCost,BurstCount,BurstDelay,AttackMultipleBuildings,IncreasingDamage,DPSLv2,DPSLv3,Lv2SwitchTime,Lv3SwitchTime,AttackEffectLv2,AttackEffectLv3,AttackEffectLv4,TransitionEffectLv2,TransitionEffectLv3,TransitionEffectLv4,TargetedEffectOffset,SecondarySpawnOffset,CustomDefenderIcon,SpecialMovementMod,InvisibilityRadius,HealthReductionPerSecond,AutoMergeDistance,AutoMergeGroupSize,IsUnderground,ProjectileBounces,FriendlyGroupWeight,EnemyGroupWeight,NewTargetAttackDelay,TriggersTraps,ChainShootingDistance,ChainAttackDistance,ChainAttackDepth,ChainAttackFactor,ChainAttackDelay,ChainAttackDamageReductionPercent,ChainAttackEffect,PreAttackEffect,MoveStartsEffect,UndergroundEffect,UnderwaterEffect,BecomesTargetableEffect,BoostedIfAlone,BoostRadius,BoostDmgPerfect,BoostAttackSpeed,HideEffect,VillageType,UnitsInCamp,SpecialAbilityLevel,SpecialAbilityName,SpecialAbilityInfo,SpecialAbilityType,SpecialAbilityAttribute,SpecialAbilityAttribute2,SpecialAbilityAttribute3,SpecialAbilitySpell,SpecialAbilityEffect,SpecialAbilityIcon,DisableDonate,ScaleByTH,EnabledByCalendar,EnabledBySuperLicence,LoseHpPerTick,LoseHpInterval,UpgradeLevelByTH,EvolveToCharacter,EvolveEffect,EvolveOnDamageDealt,EvolveTime,CanAttackWhileMoving,PreferredMovementTarget,RetargetAfterHit,Damage2,Damage2Radius,Damage2Delay,Damage2Min,Damage2FalloffStart,Damage2FalloffEnd,DamageMultiplierTarget,DamageMultiplierPercent,FrostOnHitTime,FrostOnHitPercent,DoesNotOpenCC,DefensiveTroop,DamageReductionToStorages,BunkerTroops,BunkerTroopCount1,BunkerTroopCount2,BunkerDegenerationTime,BunkerSpawnDist,HeroDamageMultiplier,PenetratingProjectile,PenetratingRadius,PenetratingExtraRange,ImmuneToHealing,PreferHeroes,HealerWeight,SpecialAbilities,SpecialAbilitiesLevel,ReflectsDamage,LeashLength,DefaultSkin,HeroDeathAbilityLevel,HeroDeathAbilityType,HeroDeathAbilitySpell,CarriesMaster,PreferMasterTarget,SummonsInheritMaster,RecallWithMaster,PreviewScenario
Frosty,1,,TID_PET_FROSTY,TID_PET_FROSTY_INFO,20,,5,300,2350,999,DarkElixir,1,36,,DarkElixir,135000,20,,,350,1200,,94,,,,,sc/ui.sc,icon_unit_pet_frosty,unit_pet_frosty_big,sc/info_pet_frosty.sc,Frosty_projectile,,,,,Frosty Deploy,Frosty Attack,,IceWizard Hit1,,FALSE,TRUE,TRUE,,Frosty Die,,FrostyDefault,,TRUE,,0,,,,,,TRUE,,,,150,,,,Icemite,1,8000,Frosty Summon,4,100,,15000,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,300,400,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,50,,,,,,,,,,,,,,,,FrostyPlaceholderAbility,1,,100,PetFrostyDefault,,,,,,,,Pet1
,2,,,,,,5,,2450,,,2,48,,,142500,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,5,,2550,,,3,72,,,146250,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,2650,,,4,96,,,150000,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,5,,2800,,,5,108,,,157500,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,8,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,5,,2900,,,6,120,,,161250,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,8,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,5,,3000,,,7,142,,,168750,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,8,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,5,,3100,,,8,144,,,172500,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,8,,,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,5,,3200,,,9,156,,,180000,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,8,,,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,5,,3300,,,10,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,10,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase Fennec,1,,TID_PET_SPIRIT_FOX,TID_PET_SPIRIT_FOX_INFO,20,,9,300,1900,999,DarkElixir,1,72,,DarkElixir,168750,20,,,250,1600,,108,,,,,sc/ui.sc,icon_unit_pet_phasefennec,unit_pet_phasefennec_big,sc/info_pet_phasefennec.sc,Fennec_projectile,,,,,Barky Fennec Deploy,Barky Fennec Attack,,Miner Hit,,FALSE,FALSE,TRUE,,Barky Fennec Die,,FennecDefault,,TRUE,,0,,,,,,TRUE,,,,,,,,,,,,,100,,15000,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,300,400,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PhaseFennecInvis,1,,200,PetFennecDefault,,,,,,,,Pet2
,2,,,,,,9,,2000,,,2,96,,,176250,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,3,,,,,,9,,2100,,,3,120,,,183750,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,4,,,,,,9,,2200,,,4,132,,,191250,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,5,,,,,,9,,2300,,,5,144,,,198750,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,6,,,,,,9,,2400,,,6,156,,,206250,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,7,,,,,,9,,2500,,,7,168,,,213750,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,8,,,,,,9,,2600,,,8,180,,,221250,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,9,,,,,,9,,2700,,,9,192,,,236250,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,10,,,,,,9,,2800,,,10,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Angry Jelly,1,,TID_PET_ANGRY_JELLY,TID_PET_ANGRY_JELLY_INFO,20,,10,200,1450,999,DarkElixir,1,72,,DarkElixir,168750,20,,,500,750,,112,,,,,sc/ui.sc,icon_unit_pet_rage_jelly,unit_pet_rage_jelly_big,sc/info_pet_rage_jelly.sc,,,,Defense,,RageJelly Deploy,RageJelly Attack,,RageJelly Hit,,TRUE,TRUE,TRUE,,RageJelly Die,,RageJellyDefault,,FALSE,,0,,,,,,TRUE,,,,,,,,,,,,,100,,15000,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,300,400,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AngryJellyAbility,1,,400,RageJellyDefault,,,,,,,,Pet1
,2,,,,,,10,,1525,,,2,96,,,176250,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,3,,,,,,10,,1600,,,3,120,,,183750,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,4,,,,,,10,,1675,,,4,144,,,191250,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,5,,,,,,10,,1750,,,5,168,,,198750,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,6,,,,,,10,,1825,,,6,192,,,206250,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,7,,,,,,10,,1900,,,7,192,,,213750,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,8,,,,,,10,,1975,,,8,192,,,221250,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,9,,,,,,10,,2050,,,9,192,,,236250,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
,10,,,,,,10,,2125,,,10,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
JumpAuraPet,1,TRUE,TID_PET_MELEEJUMPER,TID_PET_MELEEJUMPER_INFO,20,,1,300,6000,999,DarkElixir,1,72,,DarkElixir,115000,20,,,80,1600,,180,,,,,sc/ui.sc,icon_unit_pet_slimesnail,unit_pet_lassi_big,sc/info_pet_lassi.sc,,,,,,Barky Deploy,Barky Attack,,Miner Hit,,FALSE,FALSE,TRUE,,Barky Die,,JumpPetTempAnim,,TRUE,,0,,,,,,TRUE,,,,,,,,,,,,,100,,1960,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,300,400,,TRUE,,,,,,,,,,,,,,,,,,,,,TID_PET_ABILITY_BARKY,TID_PET_ABILITY_INFO_BARKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JumpPetJumpAbility,1,,200,,,,,,,,,
SpeedupPet,1,TRUE,TID_PET_RANGEDATTACKER,TID_PET_RANGEDATTACKER_INFO,20,,1,250,2500,9999,DarkElixir,1,72,,DarkElixir,135000,20,,,400,1400,,180,,,,,sc/ui.sc,icon_unit_pet_hastespirit,unit_pet_electro_owl_big,sc/info_pet_electro_owl.sc,,,,,,Laser Owl Deploy,Laser Owl Attack,,Mega Tesla Hit,,TRUE,TRUE,TRUE,,Laser Owl Die,,SpeedupPet,,FALSE,,30,,,,,,TRUE,,,,,,,,,,,,,100,,3550,PetSpeedUp,0,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,300,400,,FALSE,,,,,,,,,,,,,,,,,,,,,TID_PET_ABILITY_ELECTROWL,TID_PET_ABILITY_INFO_ELECTROWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Turtle,1,TRUE,TID_PET_MELEEJUMPER,TID_PET_MELEEJUMPER_INFO,20,,1,100,20000,9999,DarkElixir,1,72,,DarkElixir,135000,20,,,50,2000,,20,,,,,sc/ui.sc,icon_unit_pet_spiritjellyfish,unit_pet_lassi_big,sc/info_pet_lassi.sc,,,,,,Barky Deploy,Barky Attack,,Miner Hit,,FALSE,FALSE,TRUE,,Barky Die,,TurtleTempAnim,,FALSE,,0,,,,,,TRUE,,,,,,,,,,,,,100,,15000,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,300,400,,TRUE,,,,,,,,,,,,,,,,,,,,,TID_PET_ABILITY_ELECTROWL,TID_PET_ABILITY_INFO_ELECTROWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,Pet1
AirSplitPetSpawnRemoved,1,TRUE,TID_PET_RANGEDATTACKER,TID_PET_RANGEDATTACKER_INFO,20,,1,250,1600,9999,DarkElixir,1,72,,DarkElixir,135000,20,,,80,1400,,160,,,,,sc/ui.sc,icon_unit_pet_spiritjellyfish,unit_pet_electro_owl_big,sc/info_pet_electro_owl.sc,,,,,,Laser Owl Deploy,Laser Owl Attack,,Mega Tesla Hit,,TRUE,TRUE,TRUE,,Laser Owl Die,,AirSplitPetSpawn,,FALSE,,30,,,,,,TRUE,,TRUE,,,,,,,,,,,100,,3550,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,300,400,,TRUE,,,,,,,,,,,,,,,,,,,,,TID_PET_ABILITY_ELECTROWL,TID_PET_ABILITY_INFO_ELECTROWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,
AirSpawnerPet,1,TRUE,TID_PET_RANGEDATTACKER,TID_PET_RANGEDATTACKER_INFO,20,,1,200,4200,9999,DarkElixir,1,72,,DarkElixir,135000,20,,,750,1000,,20,,,,,sc/ui.sc,icon_unit_pet_spiritjellyfish,unit_pet_electro_owl_big,sc/info_pet_electro_owl.sc,gargoyle_projectile,,,Defense,,Laser Owl Deploy,Gargoyle Attack,,Gargoyle Hit,,TRUE,TRUE,TRUE,,Laser Owl Die,,AirSplitPetSpawn,,FALSE,,30,,,,,,TRUE,,,,,,,,AirSpawnerPetSpawn,1,8000,,4,100,,15000,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,300,400,,TRUE,,,,,,,,,,,,,,,,,,,,,TID_PET_ABILITY_ELECTROWL,TID_PET_ABILITY_INFO_ELECTROWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,Pet2
