TID,PL
TID_EVENT_CW_TITLE,2x PD klanu
TID_EVENT_DAILYLOGIN_INFO,"Loguj się codziennie, by zdobywać nagrody."
TID_EVENT_DAILYLOGIN_TITLE,Kalendarz codziennego logowania
TID_EVENT_DONATION_INFO,Przekaż za 1 klejnot
TID_EVENT_END_SOUR_ELIXIR_DEPLETED,Klątwa kwaśnego eliksiru się wyczerpała. Wciąż możesz wymienić medale u handlarza.
TID_EVENT_GET_GEM_ALTERNATIVE_TEXT,W magazynie magicznych przedmiotów nie ma miejsca na wszystkie nagrody z wydarzenia. Chcesz sprzedać dodatkowe nagrody za klejnoty (<amount>)?
TID_EVENT_GET_GEM_ALTERNATIVE_TITLE,Magazyn pełny
TID_EVENT_HERO_BOOST_ALT,Wydarzenie ze wzmocnieniem herosa
TID_EVENT_HUB_ACCESS,Centrum wydarzeń
TID_EVENT_HUB_ACCESS_INFO,Centrum wydarzeń
TID_EVENT_MINI_PASS_ACTIVATE_TITLE,Aktywuj minikarnet wydarzenia.
TID_EVENT_NOTIFY,!
TID_EVENT_PASS_ACTIVATE_TEXT,"Aktywuj karnet wydarzenia, by zdobyć więcej nagród."
TID_EVENT_PASS_ACTIVATE_TITLE,Aktywuj karnet wydarzenia
TID_EVENT_PASS_MINI_ACTIVATE_TEXT,"Aktywuj minikarnet wydarzenia, by zdobyć więcej nagród."
TID_EVENT_PASS_MINI_PACKAGE,Minikarnet wydarzenia.
TID_EVENT_PASS_MINI_PACKAGE_INFO,"Kup minikarnet wydarzenia, by zdobyć więcej nagród."
TID_EVENT_PASS_MINI_PURCHASE_INFO,"Kup minikarnet wydarzenia, by zdobyć więcej nagród."
TID_EVENT_PASS_MINI_PURCHASE_TEXT,"Kup minikarnet wydarzenia, by zdobyć więcej nagród."
TID_EVENT_PASS_MINI_PURCHASE_TITLE,Zdobądź minikarnet wydarzenia.
TID_EVENT_PASS_PACKAGE,Karnet wydarzenia
TID_EVENT_PASS_PACKAGE_INFO,"Kup karnet wydarzenia, by zdobyć więcej nagród."
TID_EVENT_PASS_PURCHASE_INFO,"Kup karnet wydarzenia, by zdobyć więcej nagród"
TID_EVENT_PASS_PURCHASE_TEXT,"Kup karnet wydarzenia, by zdobyć więcej nagród."
TID_EVENT_PASS_PURCHASE_TITLE,Zdobądź karnet wydarzenia
TID_EVENT_SHOP_TITLE,Oferty w wydarzeniu
TID_EVENT_SPELL,Wydarzenie: <troop>
TID_EVENT_SPELL_BOOST,Wzmocnienie warzenia za 1 klejnot
TID_EVENT_SPELL_BOOST_INFO,Warz zaklęcia 4x szybciej.\n\nPrzyspiesz warzenie zaklęć za 1 klejnot.
TID_EVENT_SPELL_INFO,Warz zaklęcia (<troop>) taniej.
TID_EVENT_STAR_BONUS,Gwiezdny bonus x<starbonus>
TID_EVENT_STAR_BONUS_INFO,Zapełnij skarbiec szybciej.\n\nGwiezdny bonus daje <starbonus>x łupy podczas tego wydarzenia.
TID_EVENT_TEXT_HALLOWEEN_GIANT_SKELETON,"Odważnie nawiedzaj swoich wrogów i zdobądź 200 klejnotów oraz miksturę mocy, korzystając z gigantycznego szkieletu w czasie wydarzenia Nawiedzeni i nieustraszeni."
TID_EVENT_TEXT_HALLOWEEN_SKEL_BARREL,"Zrzucaj beczki szkieletów na swoich wrogów i patrz na rozpętane pandemonium. A, możesz też zdobyć 200 klejnotów i miksturę mocy."
TID_EVENT_TEXT_TH12_INFERNO_PACK,Pakiet inferno ratusza poz. 12.
TID_EVENT_TEXT_XMAS-MAGICITEM,Oferta przedmiotów magicznych
TID_EVENT_TEXT_XMAS_MAGICITEM,Oferta przedmiotów magicznych
TID_EVENT_TIME_LEFT,Pozostały czas:
TID_EVENT_TIME_UNTIL_START,Początek za
TID_EVENT_TITLE_6TH_ANNIVERSARY_PACK,Pakiet na 6. rocznicę
TID_EVENT_TITLE_CHINESENEWYEAR,Oferta na nowy rok księżycowy
TID_EVENT_TITLE_CLANWAR_FIRSTRUN,Czas rozpocząć gry!
TID_EVENT_TITLE_CLANWAR_LONG,Weekendowy maraton
TID_EVENT_TITLE_CLANWAR_LONG2,Bieg wytrzymałościowy
TID_EVENT_TITLE_CLANWAR_LONG3,Weekendowa zdobycz
TID_EVENT_TITLE_CLANWAR_SHORT,Weekendowy wojownik
TID_EVENT_TITLE_CLANWAR_SHORT2,Klanowy sprint
TID_EVENT_TITLE_CLANWAR_SHORT3,Weekendowy sprint
TID_EVENT_TITLE_CLANWAR_SHORT4,Weekendowy wyjazd
TID_EVENT_TITLE_CLANWAR_XMAS,Gry zimowe
TID_EVENT_TITLE_END_OF_SEP_OFFER_TH0206,Zapasy zasobów
TID_EVENT_TITLE_END_OF_SEP_OFFER_TH071,Zbiory zasobów
TID_EVENT_TITLE_END_OF_SUMMER_OFFER_TH0206,Pakiet drogi do zwycięstwa
TID_EVENT_TITLE_END_OF_SUMMER_OFFER_TH0712,Pakiet mroku i mocy
TID_EVENT_TITLE_HAMMERJAM_PACK,Pakiet ulepszeń
TID_EVENT_TITLE_HAMMERJAM_PACK2,Pakiet aktualizacji
TID_EVENT_TITLE_MAGICITEM_PACK,Pakiet przedmiotów magicznych
TID_EVENT_TITLE_NOOB_PACK_0099_0299,Jednorazowa oferta królewska
TID_EVENT_TITLE_REGULAR_THEMED_BATTLE_TH0212,Tygiel wojenny
TID_EVENT_TITLE_REGULAR_THEMED_BUILD_TH0212,Cisza przed burzą
TID_EVENT_TITLE_REGULAR_THEMED_PREPARE_TH0212,Rozpal ogień w kuźniach
TID_EVENT_TITLE_XMAS_RESOURCES,Oferta świąteczna
TID_EVENT_TOKENS,Medale kombinacji
TID_EVENT_TRACK_REWARD_INFO_CHARACTER_NOT_AVAILABLE,Tymczasowe oddziały nie są już dostępne
TID_EVENT_TRACK_REWARD_INFO_SPELL_NOT_AVAILABLE,Tymczasowe zaklęcia nie są już dostępne
TID_EVENT_TRACK_REWARD_INFO_SUPER_TROOP,Aktywuj za darmo: <name>.
TID_EVENT_TRACK_REWARD_INFO_SUPER_TROOP_BOOSTED,Aktywuj za darmo: <name>.\nCzas treningu skrócony o <pct>%.
TID_EVENT_TRACK_REWARD_INFO_SUPER_TROOP_NOT_AVAILABLE,Darmowy superoddział nie jest już dostępny.
TID_EVENT_TREASURE_HUNT_CHESTS_COLLECTED,Odebrano:
TID_EVENT_TREASURE_HUNT_CHESTS_COMPLETE,Wszystkie skrzynie odebrane!
TID_EVENT_TREASURE_HUNT_COOLDOWN,Nowe skrzynie za: <time>
TID_EVENT_TREASURE_HUNT_DESCRIPTION,"Zniszcz wrogie struktury, by znaleźć ukryty skarb."
TID_EVENT_TREASURE_HUNT_FOUND,Znalezione skrzynie:
TID_EVENT_TREASURE_HUNT_NEW_CHESTS_IN,Nowe skrzynie (<value>) za: <time>
TID_EVENT_TREASURE_HUNT_TITLE,Poszukiwanie skarbów
TID_EVENT_TROOP,Wydarzenie: <troop>
TID_EVENT_TROOP_EXPIRED,Oddziały i zaklęcia wydarzenia zniknęły
TID_EVENT_TROOP_INFO,Trenuj oddziały (<troop>) taniej i ukończ wyzwanie wydarzenia.
TID_EVENT_UPCOMING_TIME,<number> dni
TID_EXISTING_PLAYER_PRIVACY_SETTINGS_ADVISORY,"W grze dodane zostało ustawienie danych osobowych, które w tym momencie są widoczne dla wszystkich. Możesz to dostosować w sekcji Ustawienia -> Więcej ustawień."
TID_EXPERT_MODE_DESC,Stanowiska obronne zadają 20% więcej obrażeń. 20% więcej do zadawanych obrażeń i PŻ herosów obrońców. 10% mniej zadawanych obrażeń i PŻ atakujących herosów.
TID_EXTERNAL_URL_TEXT,"Hej, Wodzu. Wyślemy Cię poza Clash of Clans."
TID_EXTERNAL_URL_TITLE,Uwaga
TID_EXTRA_LOOT_STOLEN_PERCENTAGE,Dodatkowe łupy: <number>%
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT,To konto na Facebooku jest już powiązane z inną grą Clash of Clans. Powiązać je z bieżącą grą?
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE,Alert Facebooka
TID_FACEBOOK_UNAVAILABLE_TRACKING_DISABLED,Funkcje społecznościowe Facebooka są wyłączone ze względu na ustawienia prywatności Twojego urządzenia.
TID_FAILED_TO_RETRIEVE_NOTICES,Nie udało się odzyskać ogłoszeń klanowych.\nSpróbuj ponownie później.
TID_FAMILY_FRIENDLY,Klan przyjazny rodzinie
TID_FAMILY_FRIENDLY_DISABLE_POPUP,"Klany przyjazne rodzinie są zaprojektowane tak, by zapewnić bezpieczeństwo graczom poprzez mocniejsze filtry czatu. Jeśli zmienisz to ustawienie, niektórzy gracze mogą zostać usunięci z klanu. Uwaga: nie można zmienić później tych ustawień."
TID_FAMILY_FRIENDLY_ENABLE_POPUP,"Klany przyjazne rodzinie są zaprojektowane tak, by zapewnić bezpieczeństwo graczom poprzez mocniejsze filtry czatu. Uwaga: nie można zmienić później tych ustawień."
TID_FAMILY_FRIENDLY_INFO,"Klany przyjazne rodzinie są zaprojektowane tak, by zapewnić bezpieczeństwo graczom poprzez mocniejsze filtry czatu."
TID_FAMILY_FRIENDLY_LOCKED_YOUNG_PLAYER,Możesz szukać tylko klanów przyjaznych rodzinie
TID_FAQ_BUTTON,Pomoc i wsparcie
TID_FAQ_BUTTON_TENCENT,Lista informacji udostępnianych firmom zewnętrznym
TID_FAQ_EXTERNAL_BUTTON,Famitsu
TID_FAQ_WINDOW_TITLE,Pomoc i wsparcie
TID_FAVORITE_TARGET_AROUND_HERO,W obrębie pól (<num>) herosa
TID_FAVORITE_TARGET_HERO,Heros
TID_FAVORITE_TARGET_HEROES_AND_TROOPS,Herosi i oddziały
TID_FAVORITE_TARGET_HEROS_TARGET,Cel herosa
TID_FB_CONNECT_NOT_SAFE_TEXT,"Połączenie Osady z Facebookiem umożliwi Ci połączenie ze znajomymi. Zaloguj się przez Game Center, by chronić postępy i grać na różnych urządzeniach."
TID_FB_CONNECT_NOT_SAFE_TEXT_ANDROID,"Połączenie Osady z Facebookiem umożliwi Ci połączenie ze znajomymi. Zaloguj się przez Google Play, by chronić postępy i grać na różnych urządzeniach."
TID_FB_CONNECT_NOT_SAFE_TITLE,Zalogowano przez Facebooka
TID_FB_TRACKING_TEXT,"Funkcje społecznościowe Facebooka wymagają, by \qClash of Clans\q udostępniło Facebookowi Twoje dane. Facebook wykorzystuje te dane do własnych celów – m.in. do reklam i śledzenia.\n\nZaakceptuj, jeśli chcesz udostępnić swoje dane Facebookowi i włączyć funkcje społecznościowe Facebooka.\n\nZaznacz w aplikacji, że nie chcesz śledzenia, jeśli nie życzysz sobie udostępnienia Twoich danych Facebookowi. Tym samym usuniesz funkcje społecznościowe Facebooka z \qClash of Clans\q. Sprawdź Supercell ID, by dowiedzieć się więcej o funkcjach społecznościowych zapewniających prywatność."
TID_FB_TRACKING_TITLE,Aktualizacja logowania przez Facebooka
TID_FEATURES,Funkcje
TID_FEATURE_BUILDER_BASE,Baza Budowniczego
TID_FEATURE_BUILDER_BASE_DESC,"Przemierz wzburzone morze, by znaleźć nowe przygody i tajemnicze lądy."
TID_FEATURE_CLANS,Klany
TID_FEATURE_CLANS_DESC,"Dołącz do klanu i czatuj z graczami, wysyłaj i otrzymuj oddziały i jeszcze więcej."
TID_FEATURE_CLAN_CAPITAL,Stolica Klanu
TID_FEATURE_CLAN_CAPITAL_DESC,"Potężna forteca górska, którą będziesz budować wraz z klanem. Walcz z wrogami i zdobywaj łupy."
TID_FEATURE_CLAN_GAMES,Gry klanowe
TID_FEATURE_CLAN_GAMES_DESC,"Współpracuj z klanem, by ukończyć wyzwania Mocarza i zdobyć magiczne nagrody."
TID_FEATURE_CLAN_WARS,Wojny klanów
TID_FEATURE_CLAN_WARS_DESC,"Współpracuj z klanem, by pokonywać wrogów i pokazać, na co Cię stać. Esencja Clash of Clans."
TID_FEATURE_DARK_ELIXIR,Mroczny eliksir
TID_FEATURE_DARK_ELIXIR_DESC,"Czystsza i potężniejsza forma eliksiru, która umożliwia tworzenie jeszcze silniejszego wojska."
TID_FEATURE_HERO_GEAR,Wyposaż
TID_FEATURE_HERO_GEAR_DESC,"Spersonalizuj swoich herosów dzięki ekwipunkowi. Użyj chaty kowala, by wybrać zdolności herosów."
TID_FEATURE_LABORATORY,Laboratorium
TID_FEATURE_LABORATORY_DESC,"Korzystaj z pomocy magów w laboratorium, by ulepszać wojsko."
TID_FEATURE_SEASON_CHALLENGES,Wyzwania sezonowe
TID_FEATURE_SEASON_CHALLENGES_DESC,Co miesiąc możesz się podjąć nowych wyzwań i zdobyć atrakcyjne nagrody.
TID_FEATURE_SPELLS,Zaklęcia
TID_FEATURE_SPELLS_DESC,"W fabryce zaklęć uwarzysz potężną magię w butelce. Użyj jej, by poprowadzić wojsko do zwycięstwa."
TID_FEEDBACK_BUTTON,Zgłoś błąd
TID_FEEDBACK_BUTTON1,Problem z zakupem
TID_FEEDBACK_BUTTON2,Problem z połączeniem
TID_FEEDBACK_BUTTON3,Inny problem
TID_FEEDBACK_BUTTON4,Opinia
TID_FEEDBACK_BUTTON5,Utracona osada
TID_FEEDBACK_BUTTON6,Konto zablokowane
TID_FEEDBACK_EMAIL_TITLE,Opinia%20o%20Clash%20of%20Clans
TID_FEEDBACK_INFO1,\n
TID_FEEDBACK_INFO2,\n
TID_FEEDBACK_INFO3,\n
TID_FEEDBACK_INFO4,\n
TID_FEEDBACK_INFO5,Potrzebujemy następujących informacji dotyczących utraconej osady:\nDokładna nazwa osady:\nPoziom ratusza:\nPoziom doświadczenia:\nNazwa klanu (jeśli dotyczy):
TID_FEEDBACK_INFO6,\n
TID_FEEDBACK_MAIL_TEXT,\n\n\n---------NIE KASOWAĆ!---------\n<tags>\n------------------------------\n
TID_FILL_ARMY_CAMPS,Wybierz wojsko
TID_FINDING_RAID,Szukanie najazdu
TID_FIND_BARRACKS,Znajdź koszary
TID_FIND_CLAN_BUTTON,Znajdź klan
TID_FIND_MATCH_HEADER,Znaleźć mecz?
TID_FIND_NEW_CLAN_PROMPT,Trochę tu cicho. Może czas znaleźć nowy klan?
TID_FIND_NEW_MATCH,Znajdź nowy mecz
TID_FIND_NEW_MEMBERS,Znajdź nowych członków
TID_FIND_SPELL_FACTORY,Znajdź fabrykę
TID_FINISH_BUTTON,Ukończ
TID_FINISH_HERO_TAVERN,Ukończ salę herosów
TID_FINISH_SPELL,Zakończ teraz:
TID_FINISH_TRAINING,Zakończ trening:
TID_FIREPLACE,Ognisko
TID_FIRE_KING,Ognisty Król
TID_FIRE_QUEEN,Ognista Królowa
TID_FIRST_TIME_DISCOUNT,Zniżka specjalna
TID_FLAMER_INFO,"Skąp swoich wrogów w ognistej powodzi wrzącej plazmy! Zarówno powietrzne, jak i naziemne oddziały poczują swąd spalenizny."
TID_FLAMER_INFO_SHORT,Budzący grozę na polu bitwy spopielacz. Przynieś własne pianki.
TID_FLYING_FORTRESS,Latająca forteca
TID_FLYING_FORTRESS_ABILITY_INFO,"Broni się dzięki szkieletom-lotniarzom, a gdy zostanie zniszczona, wypuszcza wściekłe szkielety (<num>)."
TID_FLYING_FORTRESS_ABILITY_NAME,Szkieletowa załoga
TID_FLYING_FORTRESS_INFO,"Mogłoby się wydawać, że wyposażenie zamku w skrzydła to przepis na katastrofę, ale nie w przypadku latającej fortecy. Dzięki zastępom szkieletów-lotniarzy ten latający akropol spuszcza potężne bomby."
TID_FLYING_GOBLIN,Latający goblin
TID_FOLLOW_BUILDER_TEXT,"Budowniczy wyruszył na przygodę i zabrał ze sobą hasło do Instagrama. Śledź jego przygody i dowiedz się, co będzie robił."
TID_FOLLOW_BUILDER_TITLE,Obserwuj Budowniczego na Instagramie
TID_FOOTBALL_CHAMPION,Futbolowa Czempionka
TID_FOOTBALL_QUEEN,Futbolowa Królowa
TID_FOOTBALL_WARDEN,Futbolowy Strażnik
TID_FORCED_TO_STAGE,Musisz umieścić: <name> w fazie <stage>.
TID_FORGE,Kuźnia
TID_FORGE_COST,Koszt: <resource> (<number>)
TID_FORGE_SLOT_UNLOCKS,Do odblokowania przy <num>. poz. ratusza
TID_FORGE_UI_END_CRAFTING_POP_UP_CANCEL_TEXT,Chcesz przerwać obecne zadanie Kuźni? Wykorzystane zasoby nie zostaną zwrócone.
TID_FORGE_UI_END_CRAFTING_POP_UP_CANCEL_TITLE,Przerwać zadanie?
TID_FORUMS_BUTTON,Fora
TID_FREEZE_PERCENT,Spowolnienie: <number>%
TID_FREEZE_SPELL,Zaklęcie zamrożenia
TID_FREEZE_SPELL_INFO,"Gdy robi się gorąco, zachowaj zimną krew.\n\nZaklęcie zamrożenia wysyła pocisk chłodu, który tymczasowo unieruchamia wrogie oddziały i zakłóca działanie struktur defensywnych w promieniu jego działania."
TID_FREEZE_SPELL_INFO_SHORT,"Zamrażaj obronę, by uniknąć ognia bitwy."
TID_FREEZE_TIME,Czas trwania spowolnienia w sek.: <number>
TID_FREE_A_BUILDER,Zwolnij budowniczego
TID_FREE_CRAFTING_FINISHES_IN,Już wkrótce…
TID_FREE_IN,Za darmo w:
TID_FREE_NAME_CHANGE_INTRO_TEXT,"Nazwę możesz zmienić za darmo tylko raz. Wybierz mądrze, bo za kolejną zmianę zapłacisz klejnotami."
TID_FREE_RESEARCHER,Ukończ badanie
TID_FRIENDLIST_FILTER,Filtruj:
TID_FRIENDLY_ARMY,Przyjazne wojsko
TID_FRIENDLY_ARMY_CHANGED,Przyjazne wojsko zmienione
TID_FRIENDLY_ARMY_INFO,Przyjazne wojsko jest potrzebne do przyjacielskich potyczek lub wyzwań.
TID_FRIENDLY_CHALLENGE_SET_CASTLE_TROOPS_TEXT,Ustaw oddziały zamku klanu do obrony Osady w przyjacielskich wyzwaniach.
TID_FRIENDLY_DISTRICT_CHALLENGE_CLOSED,Dystrykt już jest atakowany!
TID_FRIENDLY_DISTRICT_CHALLENGE_DETAILS,Szczegóły przyjacielskiego wyzwania dystryktu
TID_FRIENDLY_DISTRICT_CHALLENGE_NO_ATTACKS_YET,Brak ataków.
TID_FRIENDLY_WAR,Przyjacielska potyczka
TID_FRIENDLY_WARS,Przyjacielskie potyczki włączone:
TID_FRIENDLY_WAR_CHOOSE_LAYOUT,Wybierz układ
TID_FRIENDLY_WAR_CHOOSE_NEW_LAYOUT,Wybierz nowy układ przyjacielskiej potyczki
TID_FRIENDLY_WAR_PARTICIPANTS,Uczestnicy przyjacielskiej potyczki
TID_FRIENDLY_ZONE,Przyjazne terytorium
TID_FRIENDS_ONLINE,Online
TID_FRIEND_FILTER_ADDABLE,Zaproszenia do znajomych
TID_FRIEND_FILTER_INGAME,Znajomi
TID_FRIEND_FILTER_REQUESTS,Szukaj graczy
TID_FRIEND_LEADERBOARD,Tabela wyników
TID_FRIEND_LIST_ITEM_NEW,Nowość
TID_FRIEND_LIST_ITEM_PENDING,Dodać znajomego?
TID_FRIEND_LIST_ITEM_SENT,Zaproszenie wysłane
TID_FRIEND_LIST_TEAMUP_1,Graj ze znajomymi
TID_FRIEND_LIST_TEAMUP_2,Zaproszenia do znajomych pojawią się tutaj.
TID_FRIEND_LIST_TEAMUP_2_FRIENDS,Podążaj za znajomymi wszędzie.
TID_FULLY_LOADED,W pełni załadowane
TID_FULL_ARMY_REQUIRED_V2,"Potrzebujesz całego wojska, by zaatakować."
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,Chcesz wczytać osadę wodza <name> z ratuszem na poz. <number>.? Uwaga: utracisz postępy w bieżącej grze.
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,Alert Game Center
TID_GAMES_GET_GEM_ALTERNATIVE_TEXT,W magazynie magicznych przedmiotów nie ma już miejsca na tę nagrodę. Chcesz uzyskać w zamian klejnoty (<amount>)?
TID_GAMES_GET_GEM_ALTERNATIVE_TITLE,Magazyn pełny
TID_GAMES_OVERVIEW_HEADLINE,Podsumowanie
TID_GAMES_OVERVIEW_TEXT,"W grach klanowych chodzi o realizowanie wyzwań i zdobywanie punktów razem z członkami klanu. Im więcej punktów zdobędziecie jako klan, tym lepsze nagrody otrzymacie na zakończenie gier. Zachęcaj innych do udziału: im więcej członków klanu weźmie udział w wyzwaniu, tym łatwiej będzie zdobywać kolejne progi z nagrodami."
TID_GAMES_REWARDS_HEADLINE,Nagrody
TID_GAMES_REWARDS_TEXT,"Na koniec gier otrzymasz nagrody. Mają one różne progi, które są odblokowywane, w miarę jak klan zdobywa kolejne punkty za ukończenie wyzwań. Każda osoba, która wzięła udział w grach klanowych i zrealizowała co najmniej jedno wyzwanie, może wybrać jedną nagrodę z każdego progu. Zbierz samodzielnie jak najwięcej punktów dla swojego klanu, a otrzymasz do wyboru dodatkową nagrodę, gdy gry się zakończą. Nieodebrane nagrody znikają po 7 dniach."
TID_GAMES_TASKS_HEADLINE,Wyzwania
TID_GAMES_TASKS_TEXT,"Celem wyzwań jest sprawdzenie Twoich mocnych stron w różnych sferach. Za ukończenie wyzwania na czas otrzymujesz punkty klanu. Wyzwania mają różny stopień trudności. Jeśli któreś z nich jest za trudne, poproś znajomych z klanu, żeby się go podjęli. Jeśli podejmiesz się wyzwania, którego nie dasz rady ukończyć, możesz je odrzucić. Pamiętaj tylko, że gdy to zrobisz, przez jakiś czas nie będzie można wybrać nowego wyzwania."
TID_GAMES_TASK_REVIVE_CONFIRM_TEXT,"Dodać <time> min., by ukończyć to zadanie? Dotychczasowe postępy zostaną zachowane."
TID_GAMES_TASK_REVIVE_CONFIRM_TITLE,Dodać czas?
TID_GAME_CENTER,Game Center
TID_GARG2_ABILITY_HELP,"Pierwsze ataki (<num>) są szybsze, wyprowadzane z większej odległości i zadają <num3> obr."
TID_GARG2_ABILITY_NAME,Mocarny strzał
TID_GARGOYLE,Minion
TID_GATE,Wrota
TID_GC_CHALLENGE,Rzuć wyzwanie znajomym
TID_GC_NOCHALLENGE,Otwórz osiągnięcia
TID_GEARED_UP,Zmodyfikuj: <building>
TID_GEAR_ACTION_FIGURE,Figurka
TID_GEAR_ALREADY_EQUIPPED,Przedmiot jest już wyposażony
TID_GEAR_ANGRY_TOME,Klejnot szału
TID_GEAR_BARBARIAN_CROWN_GIVEN_ABILITY,Szał
TID_GEAR_CLONING_CLOAK_GIVEN_ABILITY,Klon
TID_GEAR_DARK_CROWN,Mroczna korona
TID_GEAR_EARTHQUAKE_BOOTS,Buty wstrząsu
TID_GEAR_ELECTRO_SHIELD,Elektrobuty
TID_GEAR_FIRE_IN_A_CAN,Kula ognia
TID_GEAR_FOOTBALL_BOUNCE,
TID_GEAR_FOOTBALL_BOUNCE_INFO,
TID_GEAR_FOOTBALL_STRIKE,
TID_GEAR_FOOTBALL_STRIKE_INFO,
TID_GEAR_FROZEN_ARROW,Lodowa strzała
TID_GEAR_GIANT_GAUNTLET,Wielka rękawica
TID_GEAR_HEALER_JAR,Laleczka uzdrowicielki
TID_GEAR_HEALING_TOME,Księga leczenia
TID_GEAR_HOG_TOTEM,Maskotka wieprzowego jeźdźca
TID_GEAR_INFO,Informacje
TID_GEAR_INFO_ACTION_FIGURE,"Przywołuje Gigantycznego Giganta, aby walczył u boku Królowej Łuczniczek."
TID_GEAR_INFO_ANGRY_TOME,Pobliskie sojusznicze jednostki zadają dodatkowe obrażenia
TID_GEAR_INFO_ARCHER_CROWN,Przyzywa gang niewidzialnych łuczniczek
TID_GEAR_INFO_BARBARIAN_CROWN,Przyzywa watahę wściekłych barbarzyńców
TID_GEAR_INFO_CLONING_CLOAK,Przywołuje klony Królowej Łuczniczek.
TID_GEAR_INFO_DARK_CROWN,"Wzmacnia punkty życia i obrażenia łącznie 3 razy, gdy sojusznicy zostają pokonani."
TID_GEAR_INFO_DARK_ORB,"Zadaje obrażenia i spowalnia wszystko, czego dotknie"
TID_GEAR_INFO_EARTHQUAKE_BOOTS,"Wywołuje potężne trzęsienie ziemi, które niszczy mury i uszkadza budynki"
TID_GEAR_INFO_ELECTRO_SHIELD,"Od czasu do czasu zadają obrażenia wszystkiemu, co znajduje się wokół Królewskiej Czempionki"
TID_GEAR_INFO_ETERNAL_TOME,Wielki Strażnik i wszystkie pobliskie jednostki sojusznicze stają się niewrażliwe na ataki
TID_GEAR_INFO_FIRE_IN_A_CAN,Rzuca gigantyczną eksplodującą kulę ognia w najbliższe stanowisko obronne
TID_GEAR_INFO_FOOTBALL,"Strzela kolczastą piłką, która odbija się między budynkami."
TID_GEAR_INFO_FROZEN_ARROW,"Lodowate strzały spowalniają wrogów, których trafią"
TID_GEAR_INFO_GIANT_GAUNTLET,"Król Barbarzyńców staje się gigantem, zadaje obrażenia na całym obszarze i przyjmuje mniejsze obrażenia"
TID_GEAR_INFO_HASTE_VIAL,Rzuca zaklęcie przyspieszenia na Królewską Czempionkę
TID_GEAR_INFO_HEALER_JAR,Przyzywa stado uzdrowicielek
TID_GEAR_INFO_HEALING_TOME,Leczy Wielkiego Strażnika i wszystkie pobliskie sojusznicze jednostki.
TID_GEAR_INFO_HEROIC_TORCH,"Sprawia, że pobliskie oddziały aż palą się do przechodzenia przez mury, szybszego ruchu i otrzymywania mniejszych obrażeń"
TID_GEAR_INFO_HEROIC_TORCH_GIVEN_ABILITY,"Oddział porusza się szybciej, otrzymuje mniejsze obrażenia i może skakać."
TID_GEAR_INFO_HOG_TOTEM,Przywołuje pędzące stado wieprzowych jeźdźców
TID_GEAR_INFO_IRON_FIST,Rzuca szał na Króla Barbarzyńców
TID_GEAR_INFO_LAVALOON_PUPPET,Przywołuje upiorne lawalony
TID_GEAR_INFO_LIFE_GEM,Pobliskie sojusznicze jednostki otrzymują dodatkowe PW
TID_GEAR_INFO_LIGHT_BOMB,
TID_GEAR_INFO_METEOR_WAND,"Przywołuje tajemnicze meteoryty, które uderzają w najbliższą strukturę obronną"
TID_GEAR_INFO_MINION_BODYGUARDS,"Przyzywa latających ochroniarzy, by wsparli Księcia Minionów"
TID_GEAR_INFO_PHOENIX_STICK,
TID_GEAR_INFO_PIERCING_ARROW,"Strzela gigantyczną przeszywającą strzałą, która przemierza całą osadę"
TID_GEAR_INFO_PROTECTIVE_CLOAK,Znacząco leczy Królewską Czempionkę
TID_GEAR_INFO_ROCKET_SPEAR,Kilka kolejnych rzutów włócznią jest silniejszych i ma dłuższy zasięg.
TID_GEAR_INFO_ROYAL_CLOAK,Okrywa Królową niewidzialnością i zapewnia jej silniejsze ataki
TID_GEAR_INFO_SEEKING_SHIELD,"Rzuca tarczą, która odbija się między stanowiskami obronnymi i zadaje obrażenia"
TID_GEAR_INFO_SNAKE_ARMOR,"Przyzwij węże, aby walczyły u Twojego boku, gdy otrzymujesz obrażenia"
TID_GEAR_INFO_STONE_AMULET,"Tworzy barierę obronną, która tymczasowo zmniejsza otrzymywane obrażenia"
TID_GEAR_INFO_SUPER_ARCHER_PUPPET,
TID_GEAR_INFO_TRAP_SHIELD,
TID_GEAR_INFO_TURBO_START,"Zwiększa szybkość, zasięg i moc pierwszych kilku ataków Księcia Minionów."
TID_GEAR_INFO_VAMPSTACHE,"Gdy Król Barbarzyńców atakuje, leczy siebie"
TID_GEAR_LAVALOON_PUPPET,Lawalonowy szczeniak
TID_GEAR_METEOR_WAND,Kosmiczny kostur
TID_GEAR_PIERCING_ARROW,Wielka strzała
TID_GEAR_POPUP_DRAG_INFO,"Przeciągnij ikony, by przypisać wyposażenie do herosów"
TID_GEAR_PROTECTIVE_CLOAK,Królewski klejnot
TID_GEAR_RARITY_COMMON,Zwykła
TID_GEAR_RARITY_EPIC,Epicka
TID_GEAR_RARITY_LEGENDARY,Legendarna
TID_GEAR_RARITY_RARE,Rzadka
TID_GEAR_RESOURCE_BONUS_LOOT_INFO,Na koniec wojny dostaniesz zasoby wyposażenia. Otrzymasz więcej za zwycięstwo i mniej za porażkę.
